frame	IoU
1	0.0372024
8	0.0520833
13	0.0473485
14	0.0578704
18	0.0694444
19	0.0260417
23	0.0694444
29	0.0694444
31	0.130208
34	0.0516529
36	0.0367647
39	0.0299043
43	0.0631313
53	0.0694444
56	0.0694444
63	0.0446429
68	0.0771605
73	0.0625
85	0.0568182
88	0.0347222
93	0.0694444
98	0.0143021
107	0.0568182
113	0.0771605
114	0.0771605
115	0.0771605
126	0.0625
132	0.0694444
134	0.00744048
135	0.0694444
137	0.0771605
138	0.0694444
142	0.0631313
156	0.0771605
157	0.0694444
158	0.0771605
166	0.0625
172	0.0771605
177	0.0123518
182	0.0480769
184	0.0108507
186	0.0173611
189	0.0578704
190	0.0625
193	0.0992064
195	0.0771605
198	0.0710227
198	0.0631313
200	0.0694444
207	0.0694444
210	0.0694444
212	0.0568182
213	0.0771605
215	0.0625
216	0.0372024
225	0.0694444
227	0.0631313
234	0.0694444
240	0.0496032
243	0.0300481
244	0.0631313
249	0.0694444
250	0.0694444
253	0.0625
256	0.0516529
258	0.0694444
259	0.0625
260	0.0355114
263	0.0694444
264	0.0631313
266	0.0520833
269	0.0694444
270	0.0625
271	0.0437063
273	0.0771605
275	0.0631313
277	0.0694444
278	0.0771605
281	0.0710227
283	0.0868056
285	0.078125
288	0.0992064
292	0.0992064
295	0.0868056
300	0.0651042
301	0.078125
304	0.0771605
305	0.0771605
308	0.0694444
310	0.0694444
311	0.0771605
312	0.0694444
313	0.0578704
314	0.0771605
315	0.0578704
318	0.078125
321	0.0534188
323	0.0868056
327	0.0868056
328	0.0868056
334	0.0892857
336	0.078125
338	0.0892857
339	0.0992064
346	0.0992064
349	0.0892857
350	0.078125
359	0.0651042
361	0.0520833
363	0.0771605
367	0.0694444
373	0.0694444
376	0.0694444
378	0.0434028
379	0.0771605
385	0.0516529
392	0.0480769
398	0.0694444
403	0.0868056
405	0.0992064
408	0.0771605
411	0.0520833
413	0.0320513
418	0.0694444
424	0.0771605
433	0.0771605
435	0.0328947
436	0.0771605
437	0.0378788
441	0.0694444
442	0.0631313
445	0.0694444
451	0.0446429
454	0.0771605
462	0.0385802
469	0.0771605
473	0.0568182
474	0.0408497
475	0.0208333
485	0.0631313
497	0.0771605
501	0.0892857
502	0.0694444
503	0.0694444
506	0.0771605
510	0.0694444
517	0.0631313
520	0.0334225
527	0.0694444
529	0.0694444
530	0.0771605
537	0.0771605
539	0.0133547
541	0.0694444
542	0.0694444
548	0.00992064
552	0.0128601
558	0.0694444
560	0.0694444
562	0.0625
563	0.0694444
568	0.0694444
569	0.0694444
572	0.0437063
573	0.0473485
579	0.0694444
581	0.0771605
588	0.0694444
589	0.0771605
590	0.0578704
593	0.0771605
597	0.0771605
599	0.0625
601	0.14881
602	0.0868056
607	0.0558036
608	0.0744048
612	0.0992064
620	0.0578704
622	0.0694444
624	0.0771605
628	0.0771605
631	0.0694444
635	0.0578704
636	0.0496032
637	0.0578704
638	0.0694444
643	0.0516529
647	0.0625
653	0.0245098
657	0.0771605
659	0.0369822
662	0.0694444
666	0.0279018
667	0.0282805
669	0.0462963
670	0.0625
