frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
1	1	11	1	10	0
2	1	15	0	15	1
3	1	10	0	10	1
4	1	9	0	9	1
5	1	12	0	12	1
6	1	9	0	9	1
7	1	11	0	11	1
8	1	15	1	14	0
9	1	10	0	10	1
10	1	13	0	13	1
11	1	12	0	12	1
12	1	15	0	15	1
13	1	12	1	11	0
14	1	12	1	11	0
15	1	9	0	9	1
16	1	13	0	13	1
17	1	16	0	16	1
18	1	10	1	9	0
19	1	9	1	8	0
20	1	14	0	14	1
21	1	14	0	14	1
22	1	7	0	7	1
23	1	12	1	11	0
24	1	10	0	10	1
25	1	14	0	14	1
26	1	14	0	14	1
27	1	12	0	12	1
28	1	12	0	12	1
29	1	11	1	10	0
30	1	9	0	9	1
31	1	9	1	8	0
32	1	14	0	14	1
33	1	9	0	9	1
34	1	9	1	8	0
35	1	13	0	13	1
36	1	7	1	6	0
37	1	12	0	12	1
38	1	14	0	14	1
39	1	12	1	11	0
40	1	20	0	20	1
41	1	14	0	14	1
42	1	10	0	10	1
43	1	16	1	15	0
44	1	12	0	12	1
45	1	12	0	12	1
46	1	11	0	11	1
47	1	10	0	10	1
48	1	12	0	12	1
49	1	11	0	11	1
50	1	6	0	6	1
51	1	14	0	14	1
52	1	12	0	12	1
53	1	15	1	14	0
54	1	13	0	13	1
55	1	13	0	13	1
56	1	15	1	14	0
57	1	11	0	11	1
58	1	12	0	12	1
59	1	11	0	11	1
60	1	17	0	17	1
61	1	12	0	12	1
62	1	12	0	12	1
63	1	11	1	10	0
64	1	15	0	15	1
65	1	13	0	13	1
66	1	13	0	13	1
67	1	11	0	11	1
68	1	11	1	10	0
69	1	8	0	8	1
70	1	10	0	10	1
71	1	11	0	11	1
72	1	8	0	8	1
73	1	11	1	10	0
74	1	8	0	8	1
75	1	13	0	13	1
76	1	13	0	13	1
77	1	9	0	9	1
78	1	11	0	11	1
79	1	12	0	12	1
80	1	13	0	13	1
81	1	9	0	9	1
82	1	8	0	8	1
83	1	9	0	9	1
84	1	11	0	11	1
85	1	11	1	10	0
86	1	12	0	12	1
87	1	11	0	11	1
88	1	13	1	12	0
89	1	11	0	11	1
90	1	9	0	9	1
91	1	8	0	8	1
92	1	11	0	11	1
93	1	17	1	16	0
94	1	12	0	12	1
95	1	17	0	17	1
96	1	13	0	13	1
97	1	5	0	5	1
98	1	6	1	5	0
99	1	15	0	15	1
100	1	17	0	17	1
101	1	9	0	9	1
102	1	13	0	13	1
103	1	10	0	10	1
104	1	11	0	11	1
105	1	11	0	11	1
106	1	12	0	12	1
107	1	12	1	11	0
108	1	9	0	9	1
109	1	12	0	12	1
110	1	11	0	11	1
111	1	9	0	9	1
112	1	12	0	12	1
113	1	11	1	10	0
114	1	14	1	13	0
115	1	12	1	11	0
116	1	10	0	10	1
117	1	9	0	9	1
118	1	11	0	11	1
119	1	11	0	11	1
120	1	13	0	13	1
121	1	12	0	12	1
122	1	15	0	15	1
123	1	10	0	10	1
124	1	15	0	15	1
125	1	9	0	9	1
126	1	11	1	10	0
127	1	7	0	7	1
128	1	7	0	7	1
129	1	9	0	9	1
130	1	18	0	18	1
131	1	16	0	16	1
132	1	13	1	12	0
133	1	14	0	14	1
134	1	10	1	9	0
135	1	13	1	12	0
136	1	11	0	11	1
137	1	14	1	13	0
138	1	13	1	12	0
139	1	15	0	15	1
140	1	13	0	13	1
141	1	11	0	11	1
142	1	15	1	14	0
143	1	13	0	13	1
144	1	9	0	9	1
145	1	17	0	17	1
146	1	8	0	8	1
147	1	15	0	15	1
148	1	8	0	8	1
149	1	10	0	10	1
150	1	10	0	10	1
151	1	17	0	17	1
152	1	13	0	13	1
153	1	12	0	12	1
154	1	14	0	14	1
155	1	13	0	13	1
156	1	16	1	15	0
157	1	16	1	15	0
158	1	13	1	12	0
159	1	10	0	10	1
160	1	15	0	15	1
161	1	13	0	13	1
162	1	14	0	14	1
163	1	11	0	11	1
164	1	13	0	13	1
165	1	13	0	13	1
