frame	IoU
1	0.359308
2	0.221453
3	0.257857
4	0.300244
5	0.300244
6	0.300244
7	0.359308
8	0.257857
9	0.300244
10	0.300244
11	0.300244
12	0.300244
13	0.300244
14	0.308582
15	0.300244
16	0.257857
17	0.300244
18	0.300244
19	0.300244
20	0.257857
21	0.300244
22	0.300244
23	0.447302
24	0.592373
25	0.300244
26	0.257857
27	0.257857
28	0.300244
29	0.359308
30	0.359308
31	0.300244
32	0.257857
33	0.300244
34	0.300244
35	0.300244
36	0.300244
37	0.300244
38	0.300244
39	0.300244
40	0.300244
41	0.300244
42	0.300244
43	0.300244
44	0.257857
45	0.300244
46	0.300244
47	0.300244
48	0.300244
49	0.300244
50	0.257857
51	0.257857
52	0.300244
53	0.300244
55	0.300244
56	0.359308
57	0.300244
58	0.300244
59	0.359308
60	0.300244
61	0.300244
63	0.300244
64	0.300244
65	0.300244
66	0.359308
67	0.359308
68	0.257857
69	0.359308
70	0.300244
71	0.300244
72	0.300244
73	0.300244
74	0.221453
75	0.257857
76	0.257857
77	0.300244
78	0.300244
79	0.300244
80	0.257857
81	0.300244
82	0.300244
83	0.300244
84	0.300244
85	0.300244
86	0.257857
87	0.257857
88	0.300244
89	0.300244
90	0.300244
91	0.300244
92	0.257857
93	0.300244
94	0.300244
95	0.447302
96	0.300244
97	0.359308
98	0.221453
99	0.257857
100	0.257857
101	0.429992
102	0.300244
103	0.300244
104	0.308582
105	0.300244
106	0.300244
107	0.300244
108	0.359308
109	0.359308
110	0.429992
111	0.257857
112	0.257857
113	0.359308
114	0.300244
115	0.300244
116	0.308582
117	0.300244
118	0.300244
119	0.300244
120	0.300244
121	0.359308
122	0.257857
123	0.300244
124	0.257857
125	0.359308
126	0.300244
127	0.300244
128	0.257857
129	0.300244
130	0.300244
131	0.300244
132	0.300244
133	0.300244
134	0.257857
135	0.300244
136	0.257857
137	0.300244
138	0.535296
139	0.300244
140	0.300244
141	0.300244
142	0.300244
143	0.300244
144	0.359308
145	0.300244
146	0.221453
147	0.257857
148	0.300244
149	0.300244
