frame	IoU
16	3.125
17	2.22222
18	1.85185
19	2
20	1.51515
21	1.13636
22	1.19048
23	1.13636
24	1.19048
25	1.11111
26	1.0101
27	0.925926
28	1.11111
28	2.85714
29	0.826446
30	0.909091
30	2.85714
31	0.641026
32	1.13636
32	2.08333
33	0.641026
34	0.757576
35	0.694444
36	0.641026
37	0.641026
38	0.641026
39	0.694444
40	0.641026
41	0.641026
42	0.694444
43	0.591716
44	0.694444
45	0.641026
46	0.591716
47	0.591716
48	0.694444
49	0.591716
50	0.591716
51	0.591716
52	0.591716
53	0.591716
54	0.591716
55	0.591716
56	0.591716
57	0.591716
58	0.591716
59	0.591716
60	0.591716
61	0.591716
62	0.591716
63	0.591716
64	0.591716
65	0.591716
66	0.591716
67	0.699301
68	0.591716
69	0.769231
70	0.591716
71	0.699301
72	0.641026
72	4.16667
73	0.641026
74	0.641026
75	0.699301
76	0.641026
76	4.16667
77	0.641026
77	2.27273
78	0.699301
79	0.699301
80	0.641026
80	3.7037
81	0.641026
81	2.27273
82	0.641026
82	2.5
83	0.641026
83	2.5
84	0.641026
84	3.7037
85	0.641026
85	2.27273
86	0.699301
86	2.5
87	0.641026
87	2.5
88	0.641026
88	2.5
89	0.769231
89	2.85714
90	0.641026
90	2.5
91	0.641026
91	2.5
92	0.641026
92	2.5
93	0.641026
93	2.08333
94	0.641026
94	2.85714
95	0.641026
95	2.08333
96	0.591716
96	1.81818
97	0.591716
98	0.641026
98	2.08333
99	0.591716
100	0.641026
100	2.08333
101	0.591716
102	0.591716
103	0.591716
104	0.591716
104	1.5873
105	0.591716
106	0.591716
107	0.591716
108	0.591716
109	0.591716
110	0.591716
111	0.591716
112	0.591716
113	0.591716
114	0.591716
115	0.591716
116	0.591716
117	0.591716
118	0.591716
119	0.591716
120	0.591716
121	0.591716
122	0.591716
123	0.591716
124	0.591716
125	0.591716
126	0.591716
127	0.591716
128	0.591716
129	0.591716
130	0.591716
131	0.591716
132	0.591716
133	0.591716
134	0.591716
135	0.591716
136	0.591716
137	0.591716
138	0.591716
139	0.591716
140	0.591716
141	0.591716
142	0.591716
143	0.591716
144	0.591716
145	0.591716
146	0.591716
147	0.591716
148	0.591716
149	0.549451
150	0.591716
151	0.591716
152	0.591716
153	0.591716
154	0.591716
155	0.591716
156	0.591716
157	0.591716
158	0.591716
159	0.591716
160	0.591716
161	0.591716
162	0.591716
163	0.591716
164	0.591716
165	0.591716
166	0.591716
167	0.591716
168	0.591716
169	0.591716
170	0.591716
171	0.591716
172	0.591716
173	0.591716
174	0.591716
175	0.591716
176	0.591716
177	0.591716
178	0.591716
179	0.591716
180	0.591716
181	0.591716
182	0.591716
183	0.591716
184	0.591716
185	0.591716
186	0.591716
187	0.591716
188	0.591716
189	0.591716
190	0.591716
191	0.591716
192	0.591716
193	0.591716
194	0.591716
195	0.591716
196	0.591716
197	0.591716
198	0.591716
199	0.591716
200	0.591716
201	0.591716
202	0.591716
203	0.591716
204	0.591716
205	0.591716
206	0.591716
207	0.591716
208	0.591716
209	0.591716
210	0.591716
211	0.591716
212	0.591716
213	0.591716
214	0.591716
215	0.591716
216	0.591716
217	0.591716
218	0.591716
219	0.591716
220	0.591716
221	0.591716
222	0.591716
223	0.591716
224	0.591716
225	0.591716
226	0.591716
227	0.591716
228	0.591716
229	0.591716
230	0.591716
231	0.591716
232	0.591716
233	0.591716
234	0.591716
235	0.591716
236	0.591716
237	0.591716
238	0.591716
239	0.591716
240	0.591716
241	0.591716
242	0.591716
243	0.591716
244	0.591716
245	0.591716
246	0.591716
247	0.591716
248	0.591716
249	0.591716
250	0.591716
251	0.591716
252	0.591716
253	0.591716
254	0.591716
255	0.591716
256	0.591716
257	0.591716
258	0.591716
259	0.591716
260	0.591716
261	0.591716
262	0.591716
263	0.591716
264	0.591716
265	0.591716
266	0.591716
267	0.591716
268	0.591716
269	0.591716
270	0.591716
271	0.591716
272	0.591716
273	0.591716
274	0.591716
275	0.591716
276	0.591716
277	0.591716
278	0.591716
279	0.591716
280	0.591716
281	0.591716
282	0.591716
283	0.591716
284	0.591716
285	0.591716
286	0.591716
287	0.591716
288	0.591716
289	0.591716
290	0.591716
291	0.591716
292	0.591716
293	0.591716
294	0.591716
295	0.591716
296	0.591716
297	0.591716
298	0.591716
299	0.591716
300	0.591716
301	0.591716
302	0.591716
303	0.591716
304	0.591716
305	0.591716
306	0.591716
307	0.591716
308	0.591716
309	0.591716
310	0.591716
311	0.591716
312	0.591716
313	0.591716
314	0.591716
315	0.591716
316	0.591716
317	0.591716
318	0.591716
319	0.591716
320	0.591716
321	0.591716
322	0.591716
323	0.591716
324	0.591716
325	0.591716
326	0.591716
327	0.591716
328	0.591716
329	0.591716
330	0.591716
331	0.591716
332	0.591716
333	0.591716
334	0.591716
335	0.591716
336	0.591716
337	0.591716
338	0.591716
339	0.591716
340	0.591716
341	0.591716
342	0.591716
343	0.591716
344	0.591716
345	0.591716
346	0.591716
347	0.591716
348	0.591716
349	0.591716
350	0.591716
351	0.591716
352	0.591716
353	0.591716
354	0.591716
355	0.591716
356	0.591716
357	0.591716
358	0.591716
359	0.591716
360	0.591716
361	0.591716
362	0.591716
363	0.591716
364	0.591716
365	0.591716
366	0.591716
367	0.591716
368	0.591716
369	0.591716
370	0.591716
371	0.591716
372	0.591716
373	0.591716
374	0.591716
375	0.591716
376	0.591716
377	0.591716
378	0.591716
379	0.591716
380	0.591716
381	0.591716
382	0.591716
383	0.591716
384	0.591716
385	0.591716
386	0.591716
387	0.591716
388	0.591716
389	0.591716
390	0.591716
391	0.591716
392	0.591716
393	0.591716
394	0.591716
395	0.591716
396	0.591716
397	0.591716
398	0.591716
399	0.591716
400	0.591716
401	0.591716
402	0.591716
403	0.591716
404	0.591716
405	0.591716
406	0.591716
407	0.591716
408	0.591716
409	0.591716
410	0.591716
411	0.591716
412	0.591716
413	0.591716
414	0.591716
415	0.591716
416	0.591716
417	0.591716
418	0.591716
419	0.591716
420	0.591716
421	0.591716
422	0.591716
423	0.591716
424	0.591716
425	0.591716
426	0.591716
427	0.591716
428	0.591716
429	0.591716
430	0.591716
431	0.591716
432	0.591716
433	0.591716
434	0.591716
435	0.591716
436	0.591716
437	0.591716
438	0.591716
439	0.591716
440	0.591716
441	0.591716
442	0.591716
443	0.591716
444	0.591716
445	0.591716
446	0.591716
447	0.591716
448	0.591716
449	0.591716
450	0.591716
451	0.591716
452	0.591716
453	0.591716
454	0.591716
455	0.591716
456	0.591716
457	0.591716
458	0.591716
459	0.591716
460	0.591716
461	0.591716
462	0.591716
463	0.591716
464	0.591716
465	0.591716
466	0.591716
467	0.591716
468	0.591716
469	0.591716
470	0.591716
471	0.591716
472	0.591716
473	0.591716
474	0.591716
475	0.591716
476	0.591716
477	0.591716
478	0.591716
479	0.591716
480	0.591716
481	0.591716
482	0.591716
483	0.591716
484	0.591716
485	0.591716
486	0.591716
487	0.591716
488	0.591716
489	0.591716
490	0.591716
491	0.591716
492	0.591716
493	0.591716
494	0.591716
495	0.591716
496	0.591716
497	0.591716
498	0.591716
499	0.591716
500	0.591716
501	0.591716
502	0.591716
503	0.591716
504	0.591716
505	0.591716
506	0.591716
507	0.591716
508	0.591716
509	0.591716
510	0.591716
511	0.591716
512	0.591716
513	0.591716
514	0.591716
515	0.591716
516	0.591716
517	0.591716
518	0.591716
519	0.591716
520	0.591716
521	0.591716
522	0.591716
523	0.591716
524	0.591716
525	0.591716
526	0.591716
527	0.591716
528	0.591716
529	0.591716
530	0.591716
531	0.591716
532	0.591716
533	0.591716
534	0.591716
535	0.591716
536	0.591716
537	0.591716
538	0.591716
539	0.591716
540	0.591716
541	0.591716
542	0.591716
543	0.591716
544	0.591716
545	0.591716
546	0.591716
547	0.591716
548	0.591716
549	0.591716
550	0.591716
551	0.591716
552	0.591716
553	0.591716
554	0.591716
555	0.591716
556	0.591716
557	0.591716
558	0.591716
559	0.591716
560	0.591716
561	0.591716
562	0.591716
563	0.591716
564	0.591716
565	0.591716
566	0.591716
567	0.591716
568	0.591716
569	0.591716
570	0.591716
571	0.591716
572	0.591716
573	0.591716
574	0.591716
575	0.591716
576	0.591716
577	0.591716
578	0.591716
579	0.591716
580	0.591716
581	0.591716
582	0.591716
583	0.591716
584	0.591716
585	0.591716
586	0.591716
587	0.591716
588	0.591716
589	0.591716
590	0.591716
591	0.591716
592	0.591716
593	0.591716
