frame	IoU
3	1.02564
4	1.05263
5	1.02564
6	1.14286
7	1.10803
8	1.02564
9	1
10	1.05263
11	1.17647
12	1.11111
13	1.02564
13	1.08108
14	1.08108
14	1.05194
15	20.5128
15	1.05263
15	1.05263
16	1.10803
16	1.07962
16	1.1396
17	1.10803
17	1.07962
17	1.1396
18	1.02564
18	1.08108
19	1.16959
19	1.08108
20	1.02564
20	1.2012
21	1.05263
21	1.2012
22	1.02564
22	1.02564
23	1.10803
23	1
24	0.97561
24	1
25	1.05263
26	1.07962
27	1
28	1.10803
29	1.05263
30	1.07962
31	1.07962
32	1.02564
33	1.10803
34	1.02564
35	1.1088
35	1.05263
36	1.05263
36	1.05263
37	1.02564
37	1.10803
38	1.02564
38	1.02564
39	1.05263
39	1.02564
40	1.02564
40	1.05263
41	1.02564
41	1.07962
42	1.10803
42	1.1396
43	1.1088
43	1.1088
44	1.10803
44	1.1396
45	1.10803
45	1.05263
46	1.07962
46	1.05263
47	1.16959
47	1.10803
48	1.07962
48	1.10803
49	1.10803
50	1.05263
51	1.10803
52	1
53	1.05263
54	1.02564
54	1.02564
54	1.05263
55	1.05263
55	1.10803
55	1.05263
56	1.05263
56	1.02564
57	1.05263
57	1.02564
65	1
66	1
67	1.07962
68	1.02564
68	1
69	1.10803
69	1.10803
69	1
70	1.02564
70	1.05263
70	1.05263
71	1.05263
71	1.07962
71	1.17647
71	1.05263
72	1.10803
72	1
72	1.05263
72	1.07962
73	1
73	1.11111
73	1.07962
73	1.10803
74	1.16959
74	1.07962
74	1.07962
74	1.10803
75	1.16959
75	1.07962
76	1.05263
77	1.10803
78	1.02564
79	1.23839
80	1
80	1
81	1.05263
81	1.16959
82	1.05194
82	1.05194
83	1
83	1.05263
84	1
84	1.05263
85	1.10803
85	1.11111
86	1.07962
86	1.07962
87	1
87	1.05263
88	1.07962
88	1.07962
89	1.05263
89	1.07962
90	1.02564
90	1.02564
91	1.10803
91	1.08108
92	1.23457
92	1.1396
93	1
93	1.1396
94	1.2012
95	1.10803
96	1.10803
97	1.05263
98	1.02564
98	1.02564
99	1.05263
99	1.02564
100	1.02564
100	1.02564
101	1.02564
101	1.02564
111	1
112	1
113	1.02564
113	1
114	1.07962
114	1
114	1
115	1
115	1.08108
115	1.11111
116	1.05263
116	1.02564
116	1.07962
116	1.05263
116	1.02564
117	1.05194
117	1.02564
117	1
117	1.07962
117	1.08108
117	1.05263
117	1
118	1.05263
118	1.1088
118	1.07962
118	1.07962
118	1.08108
118	1.05263
118	1
119	1.05263
119	1
119	1.07962
120	1
120	0.97561
121	1.02564
121	1
122	1.07962
122	1
123	1.05263
124	1.20664
125	1.10803
126	1.16959
127	1.05263
128	1.10803
129	1.02564
130	1.07962
131	1.02564
132	1.07962
133	1.02564
134	1.07962
135	1.05263
136	1.07962
137	1.05263
138	1.05263
139	1.1088
140	1.05263
141	1.05194
141	1.02564
142	1.10803
142	1.1396
142	1.05263
143	1.02564
143	1.05263
143	1.11111
144	1.07962
144	1.10803
144	1.05263
145	1.02564
145	1.02564
145	1.07962
146	1.10803
146	1.17647
146	1.10803
147	1.1088
147	1.05263
147	1.11111
