frame	IoU
1	0.127551
2	0.127551
3	0.127551
4	0.127551
5	0.127551
6	0.111607
7	0.111607
8	0.0992064
8	0.208333
10	0.111607
11	0.111607
12	0.111607
13	0.127551
14	0.0976563
15	0.0976563
16	0.0976563
17	0.127551
18	0.127551
19	0.111607
20	0.127551
21	0.127551
22	0.111607
23	0.111607
24	0.111607
25	0.127551
26	0.127551
27	0.111607
28	0.0976563
29	0.111607
30	0.111607
31	0.0976563
32	0.0976563
33	0.111607
34	0.127551
35	0.111607
36	0.111607
37	0.127551
38	0.0976563
39	0.0976563
40	0.111607
41	0.127551
42	0.127551
43	0.127551
44	0.111607
45	0.0976563
46	0.0976563
47	0.0976563
48	0.127551
49	0.127551
50	0.111607
51	0.127551
52	0.127551
53	0.0976563
54	0.111607
55	0.111607
57	0.111607
58	0.111607
59	0.127551
60	0.111607
61	0.0976563
63	0.0976563
64	0.0976563
65	0.0976563
66	0.111607
67	0.111607
68	0.111607
69	0.127551
70	0.0868056
71	0.0976563
72	0.0976563
73	0.111607
74	0.111607
75	0.111607
76	0.111607
77	0.111607
78	0.0976563
79	0.0976563
80	0.0976563
81	0.111607
82	0.0868056
83	0.111607
84	0.127551
85	0.111607
86	0.111607
87	0.111607
88	0.111607
89	0.111607
90	0.0976563
91	0.0992064
92	0.111607
93	0.111607
94	0.0976563
95	0.0976563
96	0.111607
97	0.0976563
98	0.0976563
99	0.127551
100	0.127551
101	0.127551
102	0.111607
103	0.0976563
104	0.111607
105	0.111607
106	0.127551
107	0.0868056
108	0.111607
109	0.111607
110	0.0976563
111	0.0976563
112	0.0976563
114	0.111607
115	0.0976563
116	0.127551
117	0.111607
118	0.111607
119	0.111607
120	0.127551
121	0.111607
123	0.111607
125	0.111607
126	0.0976563
127	0.0868056
128	0.0976563
129	0.111607
130	0.127551
131	0.127551
133	0.127551
134	0.111607
135	0.111607
136	0.111607
137	0.111607
138	0.127551
139	0.111607
140	0.111607
141	0.111607
142	0.0976563
143	0.111607
144	0.111607
145	0.127551
146	0.111607
147	0.111607
148	0.127551
149	0.111607
150	0.111607
151	0.111607
152	0.127551
153	0.111607
154	0.111607
155	0.111607
156	0.0976563
157	0.111607
158	0.0976563
159	0.0976563
160	0.0976563
161	0.0686813
162	0.127551
163	0.111607
164	0.127551
165	0.111607
166	0.0992064
167	0.111607
168	0.111607
169	0.0976563
170	0.127551
171	0.111607
172	0.127551
173	0.0976563
174	0.0976563
175	0.111607
176	0.0976563
177	0.127551
178	0.127551
179	0.111607
180	0.127551
181	0.127551
182	0.111607
183	0.0992064
184	0.111607
185	0.111607
186	0.0976563
187	0.111607
188	0.0976563
189	0.0976563
190	0.111607
191	0.0976563
192	0.127551
195	0.127551
196	0.111607
197	0.0976563
198	0.127551
199	0.0976563
200	0.111607
201	0.111607
202	0.111607
203	0.111607
205	0.127551
206	0.111607
207	0.111607
208	0.111607
209	0.111607
210	0.111607
211	0.111607
212	0.111607
213	0.127551
214	0.111607
215	0.111607
216	0.111607
217	0.111607
218	0.0976563
219	0.111607
220	0.111607
221	0.111607
222	0.0976563
223	0.111607
224	0.111607
225	0.127551
226	0.111607
227	0.127551
228	0.127551
229	0.127551
230	0.111607
231	0.111607
232	0.0976563
233	0.0976563
234	0.127551
235	0.0992064
236	0.0976563
237	0.111607
238	0.0868056
239	0.0976563
240	0.111607
241	0.127551
242	0.0976563
243	0.127551
244	0.127551
245	0.111607
246	0.111607
247	0.0976563
248	0.111607
249	0.111607
250	0.127551
251	0.0976563
252	0.111607
253	0.111607
254	0.111607
255	0.0976563
256	0.0976563
257	0.127551
258	0.127551
259	0.111607
260	0.0976563
261	0.127551
262	0.111607
263	0.111607
264	0.111607
265	0.127551
266	0.127551
267	0.0992064
268	0.0976563
269	0.0976563
270	0.0976563
271	0.0976563
272	0.111607
273	0.127551
274	0.127551
275	0.111607
276	0.127551
277	0.127551
278	0.127551
279	0.0976563
280	0.111607
281	0.127551
282	0.111607
283	0.111607
284	0.111607
285	0.111607
286	0.111607
287	0.111607
288	0.111607
289	0.127551
290	0.14881
291	0.130208
292	0.14881
293	0.14881
294	0.111607
295	0.127551
296	0.127551
297	0.111607
298	0.127551
299	0.111607
300	0.0976563
301	0.111607
303	0.0976563
304	0.0976563
305	0.127551
306	0.111607
307	0.127551
308	0.111607
309	0.127551
310	0.111607
311	0.111607
312	0.111607
313	0.0976563
314	0.111607
315	0.111607
316	0.0976563
317	0.111607
318	0.111607
319	0.0976563
320	0.0976563
321	0.111607
322	0.111607
323	0.111607
324	0.111607
325	0.111607
326	0.111607
327	0.111607
328	0.111607
329	0.127551
330	0.127551
331	0.127551
332	0.111607
333	0.127551
334	0.127551
335	0.130208
336	0.111607
337	0.130208
338	0.14881
339	0.14881
340	0.14881
341	0.14881
342	0.130208
343	0.111607
344	0.130208
345	0.111607
346	0.127551
347	0.14881
348	0.111607
350	0.127551
351	0.111607
352	0.127551
353	0.111607
354	0.127551
355	0.127551
356	0.111607
357	0.111607
358	0.111607
359	0.111607
360	0.0976563
361	0.111607
362	0.127551
363	0.111607
364	0.111607
365	0.111607
366	0.0976563
367	0.0976563
368	0.0976563
369	0.127551
370	0.127551
372	0.127551
373	0.111607
374	0.111607
375	0.111607
376	0.127551
377	0.111607
378	0.111607
379	0.111607
380	0.111607
381	0.111607
382	0.111607
383	0.0976563
384	0.0976563
385	0.127551
386	0.127551
387	0.127551
388	0.127551
389	0.127551
390	0.111607
391	0.127551
392	0.127551
393	0.127551
394	0.111607
395	0.111607
396	0.111607
397	0.127551
398	0.0976563
399	0.0976563
400	0.111607
401	0.111607
402	0.127551
403	0.127551
404	0.0976563
405	0.111607
406	0.0976563
409	0.111607
410	0.111607
411	0.127551
412	0.111607
413	0.111607
414	0.111607
415	0.0976563
416	0.0976563
417	0.127551
418	0.127551
419	0.127551
420	0.111607
421	0.111607
422	0.127551
423	0.111607
424	0.111607
425	0.127551
426	0.111607
427	0.111607
428	0.111607
429	0.111607
430	0.0976563
431	0.0976563
432	0.111607
433	0.0976563
435	0.111607
436	0.127551
437	0.127551
438	0.111607
439	0.111607
440	0.111607
441	0.111607
442	0.111607
443	0.127551
444	0.0976563
445	0.111607
446	0.0976563
447	0.111607
448	0.127551
449	0.127551
450	0.127551
451	0.111607
452	0.111607
453	0.127551
454	0.111607
455	0.0976563
456	0.0976563
457	0.111607
458	0.127551
459	0.127551
460	0.111607
461	0.111607
462	0.127551
463	0.111607
464	0.111607
465	0.127551
466	0.111607
467	0.111607
469	0.127551
470	0.111607
471	0.0976563
472	0.111607
473	0.111607
474	0.111607
475	0.111607
476	0.127551
477	0.111607
478	0.111607
479	0.0976563
480	0.0976563
481	0.127551
482	0.111607
483	0.111607
484	0.111607
485	0.127551
486	0.111607
487	0.111607
488	0.0976563
489	0.078125
490	0.111607
491	0.111607
492	0.0868056
493	0.111607
494	0.0976563
495	0.0976563
496	0.111607
497	0.127551
498	0.111607
499	0.0976563
500	0.111607
501	0.127551
502	0.111607
503	0.111607
504	0.0976563
505	0.127551
506	0.111607
508	0.111607
509	0.111607
510	0.0976563
511	0.0976563
512	0.0976563
513	0.111607
514	0.127551
515	0.127551
516	0.111607
517	0.127551
518	0.127551
519	0.111607
520	0.111607
521	0.111607
522	0.127551
523	0.127551
524	0.111607
525	0.111607
526	0.111607
527	0.0976563
528	0.111607
529	0.127551
530	0.127551
531	0.127551
532	0.127551
533	0.127551
534	0.111607
535	0.111607
536	0.111607
538	0.111607
539	0.111607
540	0.111607
541	0.0892857
542	0.0976563
543	0.111607
544	0.111607
545	0.111607
546	0.111607
547	0.111607
548	0.127551
549	0.0976563
550	0.111607
551	0.111607
552	0.0976563
553	0.111607
554	0.260417
555	0.111607
556	0.127551
557	0.111607
558	0.0976563
559	0.0976563
560	0.0976563
561	0.127551
562	0.127551
563	0.111607
564	0.127551
565	0.127551
566	0.111607
567	0.111607
568	0.127551
569	0.127551
570	0.127551
571	0.127551
572	0.111607
573	0.0625
574	0.111607
575	0.0976563
576	0.111607
577	0.127551
578	0.127551
579	0.111607
580	0.111607
581	0.127551
582	0.111607
583	0.127551
584	0.111607
585	0.0976563
586	0.127551
587	0.111607
588	0.111607
589	0.0868056
590	0.0976563
591	0.0976563
592	0.127551
593	0.127551
594	0.111607
595	0.127551
596	0.111607
597	0.127551
598	0.127551
599	0.111607
600	0.127551
601	0.127551
602	0.0976563
603	0.111607
604	0.111607
605	0.111607
606	0.127551
607	0.111607
608	0.130208
609	0.130208
610	0.14881
611	0.14881
612	0.14881
613	0.14881
614	0.127551
615	0.127551
616	0.111607
617	0.127551
618	0.127551
619	0.111607
620	0.111607
621	0.111607
622	0.0976563
623	0.111607
624	0.0976563
625	0.127551
626	0.127551
627	0.111607
628	0.127551
629	0.0771605
630	0.111607
631	0.0868056
632	0.127551
633	0.111607
634	0.111607
635	0.111607
637	0.111607
638	0.0976563
639	0.0976563
640	0.0976563
641	0.0976563
642	0.127551
643	0.127551
644	0.127551
645	0.127551
648	0.111607
649	0.127551
650	0.111607
651	0.111607
652	0.0976563
653	0.111607
655	0.0976563
656	0.111607
657	0.111607
658	0.127551
659	0.111607
660	0.111607
661	0.0976563
662	0.111607
663	0.111607
664	0.127551
665	0.127551
666	0.111607
667	0.111607
669	0.111607
670	0.111607
671	0.0976563
672	0.0976563
674	0.0976563
675	0.127551
676	0.127551
677	0.0976563
678	0.111607
679	0.0976563
680	0.0868056
681	0.127551
682	0.127551
683	0.111607
684	0.111607
685	0.127551
686	0.111607
687	0.111607
688	0.0976563
689	0.127551
691	0.111607
692	0.127551
693	0.0976563
694	0.111607
695	0.0868056
696	0.127551
697	0.111607
698	0.127551
699	0.111607
700	0.0976563
701	0.111607
702	0.0976563
703	0.0976563
704	0.0976563
705	0.111607
706	0.127551
707	0.127551
708	0.0976563
709	0.0976563
710	0.127551
711	0.111607
712	0.111607
713	0.111607
714	0.111607
715	0.111607
716	0.111607
717	0.111607
718	0.0976563
719	0.0868056
720	0.127551
721	0.111607
722	0.127551
723	0.127551
724	0.111607
725	0.127551
726	0.111607
727	0.111607
728	0.111607
729	0.127551
730	0.111607
731	0.127551
732	0.127551
733	0.111607
734	0.111607
735	0.111607
736	0.130208
737	0.111607
738	0.127551
739	0.14881
740	0.127551
741	0.14881
742	0.111607
743	0.130208
744	0.14881
746	0.14881
747	0.14881
748	0.127551
749	0.111607
750	0.111607
751	0.111607
752	0.111607
753	0.111607
754	0.111607
755	0.111607
756	0.127551
757	0.0976563
758	0.111607
759	0.0976563
760	0.111607
761	0.127551
762	0.127551
763	0.111607
764	0.111607
765	0.0976563
766	0.111607
767	0.111607
768	0.0976563
769	0.127551
770	0.111607
