frame	IoU
1	0.492459
2	0.865333
3	0.865333
4	0.865333
5	0.865333
6	0.652795
7	0.652795
8	0.652795
9	0.865333
10	0.865333
11	0.865333
12	0.652795
13	0.492459
14	0.492459
15	0.492459
16	0.652795
17	0.865333
18	0.865333
19	0.865333
20	0.865333
21	0.652795
22	0.652795
23	0.865333
24	0.865333
25	0.652795
26	0.652795
27	0.492459
28	0.492459
29	0.492459
30	0.652795
31	0.865333
32	0.865333
33	0.865333
34	0.865333
35	0.652795
36	0.865333
37	0.865333
38	0.865333
39	0.652795
40	0.652795
41	0.492459
42	0.492459
43	0.492459
44	0.865333
45	0.865333
46	0.865333
47	0.865333
48	0.865333
49	0.652795
50	0.652795
51	0.865333
52	0.652795
53	0.865333
54	0.652795
55	0.492459
56	0.492459
57	0.492459
58	0.865333
59	0.865333
60	0.865333
61	0.865333
62	0.865333
63	0.652795
64	0.865333
65	0.865333
66	0.865333
67	0.652795
68	0.652795
69	0.492459
70	0.492459
71	0.652795
72	0.865333
73	0.865333
74	0.865333
75	0.865333
76	0.865333
77	0.652795
78	0.652795
79	0.865333
80	0.865333
81	0.865333
82	0.652795
83	0.492459
84	0.492459
85	0.652795
86	0.865333
87	0.865333
88	0.865333
89	0.865333
90	0.865333
91	0.652795
92	0.865333
93	0.865333
94	0.865333
95	0.652795
96	0.652795
97	0.652795
98	0.492459
99	0.492459
100	0.492459
101	0.865333
102	0.865333
103	0.865333
104	0.865333
105	0.652795
106	0.492459
107	0.865333
108	0.865333
109	0.865333
110	0.652795
111	0.492459
112	0.492459
113	0.492459
114	0.865333
115	0.865333
116	0.865333
117	0.865333
118	0.865333
119	0.652795
120	0.865333
121	0.865333
122	0.652795
123	0.652795
124	0.652795
125	0.492459
126	0.492459
127	0.652795
128	0.865333
129	0.865333
130	0.865333
131	0.865333
132	0.865333
133	0.652795
134	0.865333
135	0.865333
136	0.652795
137	0.865333
138	0.652795
139	0.652795
140	0.492459
141	0.492459
142	0.865333
143	0.865333
144	0.865333
145	0.865333
146	0.865333
147	0.652795
148	0.865333
149	0.865333
150	0.865333
151	0.865333
152	0.652795
153	0.492459
154	0.492459
155	0.652795
156	0.865333
157	0.865333
158	0.865333
159	0.865333
160	0.865333
161	0.652795
162	0.865333
163	0.865333
164	0.865333
165	0.865333
166	0.652795
167	0.492459
168	0.492459
169	0.492459
170	0.865333
171	0.865333
172	0.865333
173	0.865333
174	0.865333
175	0.652795
176	0.652795
177	0.865333
178	0.865333
179	0.652795
180	0.652795
181	0.492459
182	0.492459
183	0.492459
184	0.652795
185	0.865333
186	0.865333
187	0.865333
188	0.865333
189	0.652795
190	0.865333
191	0.865333
192	0.865333
