frame	IoU
2	0.221453
3	0.221453
4	0.221453
5	0.257857
6	0.257857
7	0.221453
8	0.257857
9	0.257857
10	0.257857
11	0.257857
12	0.257857
13	0.221453
14	0.221453
15	0.221453
16	0.221453
17	0.221453
18	0.257857
19	0.257857
20	0.257857
21	0.257857
22	0.257857
23	0.257857
24	0.221453
25	0.194057
26	0.194057
27	0.257857
28	0.257857
29	0.300244
30	0.300244
31	0.257857
32	0.300244
33	0.300244
34	0.300244
35	0.300244
36	0.257857
37	0.221453
38	0.257857
39	0.257857
40	0.257857
41	0.257857
42	0.300244
43	0.257857
44	0.300244
45	0.300244
46	0.300244
47	0.300244
48	0.257857
49	0.221453
50	0.221453
51	0.257857
52	0.257857
53	0.257857
54	0.257857
55	0.257857
56	0.257857
57	0.300244
58	0.300244
59	0.300244
60	0.257857
61	0.221453
62	0.221453
63	0.257857
64	0.257857
65	0.257857
66	0.257857
67	0.257857
68	0.257857
69	0.300244
70	0.300244
71	0.300244
72	0.257857
73	0.221453
74	0.221453
75	0.257857
76	0.257857
77	0.257857
78	0.257857
79	0.257857
80	0.257857
81	0.257857
82	0.300244
83	0.300244
84	0.257857
85	0.221453
86	0.221453
87	0.257857
88	0.257857
89	0.257857
90	0.257857
91	0.257857
92	0.257857
93	0.257857
94	0.300244
95	0.300244
96	0.257857
97	0.221453
98	0.221453
99	0.221453
100	0.257857
101	0.257857
102	0.257857
103	0.257857
104	0.257857
105	0.257857
106	0.300244
107	0.300244
108	0.257857
109	0.221453
110	0.221453
111	0.221453
112	0.257857
113	0.257857
114	0.257857
115	0.257857
116	0.257857
117	0.257857
118	0.300244
119	0.300244
120	0.257857
121	0.221453
122	0.221453
123	0.221453
124	0.257857
125	0.257857
126	0.257857
127	0.257857
128	0.257857
129	0.257857
130	0.300244
131	0.300244
132	0.257857
133	0.221453
134	0.221453
135	0.221453
136	0.257857
137	0.257857
138	0.257857
139	0.257857
140	0.257857
141	0.257857
142	0.300244
143	0.300244
144	0.257857
145	0.221453
146	0.221453
147	0.221453
148	0.257857
149	0.257857
150	0.257857
151	0.257857
152	0.257857
153	0.257857
154	0.300244
155	0.300244
156	0.257857
157	0.221453
158	0.221453
159	0.221453
160	0.257857
161	0.257857
162	0.257857
163	0.257857
164	0.257857
165	0.257857
166	0.300244
167	0.300244
168	0.257857
169	0.221453
170	0.221453
171	0.221453
172	0.257857
173	0.257857
174	0.257857
175	0.257857
