frame	IoU
3	1
4	1
5	1.02564
6	1.02696
7	1
8	0.97561
9	1
9	1
10	0.97561
10	1.08108
10	0.97561
11	1
11	1.08108
11	0.97561
12	0.97561
13	1
14	1.02564
15	1.02564
16	1
17	1.02564
18	1.05263
19	1
20	0.97561
21	1.05263
21	1.05263
22	1.02564
22	1.02564
23	1.02564
23	1
24	1
24	1
25	1.02564
26	1.05471
27	1
28	1.02564
29	1.00063
30	1.05263
31	1.08108
32	0.97561
33	1.07962
34	1
35	1.05263
35	1
36	1
36	14.0351
36	0.97561
36	0.97561
36	0.97561
37	1
37	1
37	0.97561
37	0.97561
37	0.97561
38	0.97561
38	1
39	1.05263
39	1
40	0.97561
40	1
41	1.05263
42	1.05263
42	14.8148
43	1
43	1.08108
44	1.11111
44	1
45	1.05263
45	1
46	0.97561
46	1
47	1.05263
48	1.20664
49	1
50	1.10803
50	13.6752
51	1.02564
51	1.13798
52	1
52	0.97561
53	1.05263
53	1
54	1.07962
54	1.02564
55	1
55	1.10803
56	1.05263
56	1.10803
57	1.05263
58	1.05263
59	1
60	1.07962
61	1.08108
62	1.02564
63	14.8148
63	1
64	1.02564
64	1.02564
65	1.02564
65	1.02564
66	1.1396
66	1.05263
67	1.1396
67	1.05263
68	1
69	21.0526
69	8.42105
69	8.42105
69	1.05263
70	21.0526
70	8.42105
70	8.42105
70	1.05263
71	1
71	1.05263
72	0.97561
72	1.05263
73	1
74	1.05263
75	1
76	1
77	1.08108
78	1
79	1
80	0.97561
81	1.05263
82	1
83	1
84	0.97561
84	0.97561
85	1
85	1.02564
86	1.05263
86	1.07962
87	1.02564
87	1.02564
88	1
88	1.05263
89	1.05263
89	1
90	0.97561
90	1
91	1
92	1.1396
93	1
94	1.05263
94	1
95	0.97561
95	1
96	1.02564
96	1.05263
97	1.02564
97	1.05263
98	1.02564
98	1.02564
98	8.42105
98	8.42105
99	1
99	1.05263
99	8.42105
99	8.42105
100	1.05263
100	1.05263
101	1
102	1
103	1
104	1
104	8.42105
105	8.42105
105	23.5294
106	1
106	8.42105
107	1
107	8.42105
108	1
109	1
110	1.07962
111	1
112	1.07962
113	1
114	0.97561
115	1
116	1.05263
117	1.08108
118	1
118	1
118	1.02564
119	0.97561
119	1.02564
119	1
120	1
120	1.07962
120	1
121	1.10803
121	1.07962
122	1.10803
123	8.42105
123	8.42105
123	8.42105
124	1.07962
124	8.42105
124	1.10803
125	1
125	8.42105
125	1.10803
126	0.97561
127	1
128	1.11111
129	1.02564
130	1.02564
131	0.97561
131	0.97561
132	1
132	1.02564
132	1
133	1.11111
133	1
133	1
134	1.02564
134	1.02564
135	1.05263
135	1
136	1
136	1
137	1
138	1.02564
139	1.05263
140	1
141	1
142	1.07962
142	0.97561
143	1
143	1.14286
144	1.05263
144	1
145	1
145	1
146	0.97561
146	1
147	1.05263
147	1.05263
148	1.11111
148	1.08401
149	1.11111
149	1.08401
149	8.42105
149	21.0526
150	8.42105
150	21.0526
151	1
151	8.42105
151	8.42105
152	1
152	0.97561
