frame	IoU
1	0.280479
2	0.271064
3	0.257875
4	0.253789
5	0.249082
6	0.243741
7	0.247445
8	0.248633
9	0.251226
10	0.255098
11	0.264854
12	0.270605
32	0.338994
33	0.312002
34	0.282598
35	0.256707
36	0.228908
37	0.213906
38	0.192432
39	0.173676
40	0.158047
41	0.138281
42	0.12526
43	0.110689
46	0.098826
48	0.114297
49	0.147778
50	0.175061
51	0.229004
52	0.281684
53	0.313486
54	0.336009
55	0.365525
74	0.316322
75	0.298615
76	0.27974
77	0.271326
78	0.267224
79	0.262434
80	0.258958
81	0.261198
82	0.263542
83	0.272959
84	0.1964
141	0.187845
192	0.149149
193	0.145087
194	0.141471
195	0.140186
196	0.143316
197	0.147222
198	0.155993
199	0.170408
200	0.178385
201	0.188877
235	0.17277
261	0.182507
263	0.175608
265	0.171727
