frame	IoU
1	12.2113
2	11.8014
3	11.2272
4	11.0493
5	6.50663
6	6.36712
7	6.46386
8	8.11862
9	8.2033
10	8.32972
11	8.64828
12	11.7815
13	12.0405
14	9.92698
15	12.8294
16	13
17	10.7066
18	13.6489
19	14.2262
20	11.0086
21	15.5567
22	16.3163
23	16.8741
24	17.5105
25	17.9885
26	24.4719
27	18.3689
28	18.0846
29	26.1842
30	16.7011
31	20.6107
32	19.6786
33	13.5838
34	12.3036
35	11.1764
36	9.96608
37	9.31293
38	8.37798
39	7.56141
40	6.88095
41	8.02721
42	5.45351
43	4.81911
44	4.24504
45	3.90136
46	4.30263
47	4.5411
48	4.97619
49	8.57848
50	7.62169
51	9.97024
52	12.2638
53	13.6484
54	14.629
55	15.914
56	17.0159
57	17.7117
58	24.3673
59	25.0874
60	24.9662
61	18.8148
62	19.0628
63	19.1202
64	25.4552
65	18.8513
66	13.6726
67	13.2137
68	17.0407
69	12.3718
70	12.6474
71	8.82942
72	11.5111
73	13.9815
74	13.7718
75	13.0009
77	11.8128
78	15.5123
79	15.2343
80	15.0325
81	34.1156
82	15.2986
83	15.8452
84	11.401
529	20.6009
530	19.5928
535	17.2834
537	13.1944
538	17.8556
540	13.6102
546	17.602
547	16.5374
548	24.483
549	16.2314
550	12.0079
551	12.0074
552	7.26463
555	12.3122
556	7.48016
557	16.7598
558	17.1292
574	12.4339
578	16.879
579	12.7137
580	17.0085
581	16.833
582	16.6244
583	11.9983
584	20.3571
585	14.9574
586	18.9856
587	13.7084
588	17.5611
589	17.1929
590	16.8604
591	16.7297
592	16.5205
593	16.2591
594	16.0247
595	15.9083
596	15.908
597	15.908
598	15.7279
599	15.8566
600	15.7019
601	15.7275
602	15.8437
603	16.0248
604	16.1156
605	12.214
606	16.495
607	12.579
608	12.7285
609	12.9292
610	17.534
611	17.8707
612	18.3636
613	18.8744
614	28.7143
615	19.4365
616	19.8447
617	20.06
618	15.3076
619	20.7831
620	21.0423
621	21.2954
622	21.6994
623	21.9247
624	21.8811
625	49.8129
628	21.3452
629	20.6372
630	15.0094
631	11.282
632	10.5612
633	13.7438
634	13.3587
635	7.83163
636	13.0688
637	17.5677
638	13.3759
639	18.2235
640	18.68
641	19.3268
642	19.9785
643	20.6845
644	21.0517
645	15.9503
646	15.9823
647	15.918
648	20.8309
649	20.2326
650	14.6719
651	18.988
652	18.55
653	18.4828
654	10.3136
655	13.647
656	13.6093
657	18.2829
658	18.3409
659	18.4388
660	18.4969
661	18.2788
662	18.124
663	18.1589
664	18.2732
665	18.2045
666	18.4228
667	27.9632
668	28.6088
669	19.8968
670	20.8592
671	21.4881
672	21.9819
673	22.485
674	23.0867
675	23.682
676	24.6349
677	25.6563
678	26.6807
679	40.9902
680	28.1728
681	28.3044
682	28.5476
686	61.6349
687	39.6786
688	38.1685
689	24.2407
690	34.2892
691	21.9778
692	31.9087
693	30.9685
694	20.0113
695	19.5164
696	18.6886
697	27.3128
698	26.7077
699	17.3073
700	16.9454
701	25.0754
702	24.7173
703	37.2562
704	25.0968
705	25.2336
706	25.6874
707	17.5397
708	26.945
709	27.4474
710	41.8367
711	42.7823
712	29.6508
713	20.7105
714	47.9388
715	48.6407
716	48.6893
717	32.0635
718	32.0202
719	31.6853
720	31.506
721	21.1361
722	21.2403
723	21.1968
724	31.7275
725	21.3012
726	21.5265
727	21.844
728	21.8896
729	21.9505
730	33.4739
731	33.7455
732	34.4429
733	52.2555
734	35.3345
735	53.2381
736	53.7143
737	36.1224
738	53.9206
739	52.9082
740	52.2781
741	52.5166
742	53.1986
743	35.6338
744	54.5857
745	55.4008
746	56.6633
747	58.1304
748	39.551
749	60.6998
750	62.2653
751	41.9841
752	42.0635
753	62.6122
754	62.0439
755	60.9167
756	59.5918
757	57.4266
758	55.5621
759	36.4779
760	36.2046
761	36.4049
762	36.9635
763	37.3356
764	37.5374
765	56.8359
766	56.6884
767	25.0908
768	25.0265
769	24.9449
770	25.138
771	25.1184
772	25.1151
773	37.8845
774	37.9524
775	38.3496
776	38.6032
777	38.8511
778	38.6786
779	38.3078
780	38.5761
781	26.1597
782	26.5265
783	27.079
784	27.7644
785	43.5218
786	29.8511
787	45.5065
788	30.9761
789	31.4225
790	31.2733
791	31.1585
792	46.3776
793	45.5618
794	44.0964
795	64.2679
796	40.8296
797	38.9626
798	37.362
799	35.6494
800	22.6111
801	21.2974
802	20.0407
803	28.7831
804	18.4147
805	26.3023
806	16.8617
807	16.3476
808	15.8727
809	15.6211
810	15.5892
811	15.4645
812	22.8673
813	22.9478
814	23.1127
815	15.4567
816	15.6679
817	16.0406
818	16.4817
819	38.1858
820	25.8108
821	26.0721
822	26.3761
823	26.2713
824	26.1243
825	17.1928
826	16.003
827	16.0442
828	16.0176
829	15.9667
830	24.0612
831	23.8889
832	15.9599
833	35.4167
834	23.4286
835	15.5881
836	15.5584
837	15.527
838	15.5272
839	15.5896
840	23.0102
841	22.9167
842	22.5926
843	22.3622
844	22.3163
845	22.3622
846	22.1788
847	22.0417
848	22.0873
849	22.0873
850	21.9504
851	22.1786
852	22.0873
853	22.0871
854	22.0402
855	22.2242
856	22.0393
857	22.449
858	15.1429
859	15.4477
860	23.2474
861	35.5516
862	24.2125
863	16.516
864	16.7892
865	17.3148
866	27.0703
867	41.4782
868	28.7198
869	29.6824
870	20.3152
871	31.2447
872	21.254
873	32.4068
874	32.5425
875	32.7046
876	21.7262
877	21.602
878	21.4294
879	31.178
880	19.7628
881	19.2763
882	18.3524
883	17.275
884	16.1296
885	22.727
886	14.505
887	14.2358
888	21.0282
889	13.9974
890	13.9816
891	14.0071
892	14.0034
893	14.1264
894	21.5102
895	21.8036
896	14.7339
897	14.828
898	15.092
899	14.9282
900	14.8395
901	14.5659
902	14.4065
903	14.0391
904	13.7619
905	13.3456
906	13.0476
907	12.7766
908	12.5619
909	12.5532
910	12.5724
911	12.489
912	12.582
913	12.7834
914	13.0439
915	14.8743
916	15.3255
917	15.8339
918	12.7628
919	18.1544
920	18.9202
921	19.7925
922	21.4568
923	22.7386
924	23.2808
925	23.6687
926	23.8632
927	24.1957
928	24.7493
929	25.1561
930	25.8503
931	26.5344
932	27.4121
933	28.3583
934	28.5529
935	28.3991
936	28.1523
937	27.8949
938	27.116
939	25.254
940	13.0818
941	21.1019
942	20.4324
943	19.2008
944	18.493
945	17.6589
946	12.8595
947	16.9269
948	12.8175
949	17.5701
950	17.9127
951	13.8393
952	19.1599
953	19.6999
954	20.0238
955	20.1481
956	20.254
957	20.2814
958	15.2679
959	15.0981
960	19.78
961	19.4558
962	19.0567
963	18.639
964	18.3963
965	18.028
966	17.9557
967	17.8377
968	17.7258
969	17.5601
970	17.3923
971	17.0132
972	16.6372
973	16.2642
974	12.1071
975	15.9839
976	11.8812
977	11.8852
978	11.7276
979	15.6474
980	15.5635
981	15.5937
982	15.484
983	7.69303
1013	20.9776
1014	21.0042
1015	20.6719
1016	30.745
1017	30.745
1018	19.7354
1019	29.1463
1020	28.8194
1021	28.1922
1022	18.336
1023	17.9274
1024	17.3721
1025	25.5437
1026	24.8314
1027	16.2522
1028	12.0455
1029	11.9107
1030	12.0232
1031	11.9872
1032	11.9683
1033	16.0527
1034	16.8838
1035	17.3855
1036	17.7143
1037	18.3493
1038	19.0685
1039	20.1876
1040	16.0331
1041	23.495
1042	25.7625
1043	26.6565
1044	26.4538
1045	19.5153
1046	25.5344
1047	24.6882
1048	17.6913
1049	21.7989
1050	15.1344
1051	13.7282
1052	13.0312
1053	12.0204
1054	15.2031
1055	10.9652
1056	10.255
1057	7.33092
1058	12.5867
1059	9.23375
1060	8.99376
1061	6.70114
1062	6.88202
1063	7.61175
1064	8.38949
1065	11.9187
1066	9.18686
1067	12.9717
1068	18.3749
1069	14.2979
1070	11.0028
1071	11.1057
1072	14.7893
1073	14.8264
1074	14.6429
1075	14.5534
1076	10.8693
1077	10.9015
1078	10.895
1079	10.8852
1080	10.8462
1081	10.7661
1082	10.6734
1083	8.4307
1084	8.39915
1085	8.31111
1086	8.32001
1087	11.1608
1088	10.6161
1089	11.0606
1090	11.9134
1091	12.4726
1092	10.4388
1093	11.0289
1094	11.7111
1095	12.1754
1096	15.4524
1097	12.2893
1098	12.1046
1099	9.34639
1100	13.9013
1101	10.4487
1102	12.3476
1103	7.31986
1104	10.5575
1105	6.18222
1106	5.57007
1107	4.96061
1108	5.54464
1109	4.21138
1110	3.12971
1111	2.96772
1112	3.41388
1113	3.43084
1114	3.47556
1115	4.17524
1116	3.87302
1117	4.45714
1118	3.63849
1119	3.1452
1120	3.86387
1121	3.78322
1122	3.61905
1123	4.07755
1124	3.0798
1125	2.68959
1126	2.29416
1127	2.30567
1128	1.58764
1129	1.62259
1130	1.77055
1131	1.79138
1132	1.41036
1133	1.41723
1134	1.69999
1135	3.16291
1136	4.46635
1137	8.09359
1138	24.3274
1138	16.2183
