frame	IoU
2	35.4043
8	32.4745
22	48.949
24	52.5315
38	8.37798
40	2.75238
41	0.55573
42	1.63605
43	1.20478
48	0.331746
49	1.54413
50	0.81661
51	0.484384
53	40.9452
53	40.9452
54	21.9435
55	12.7312
55	12.7312
58	8.12245
59	18.8156
59	18.8156
59	56.4467
60	3.12078
60	18.7247
61	37.6296
61	56.4444
62	57.1885
65	56.554
67	21.142
67	23.4911
68	1.46063
69	1.54647
70	0.903385
71	1.13198
72	0.948718
73	0.921856
74	0.944354
80	8.45578
82	2.29478
82	15.2986
83	8.91295
116	1.19756
116	21.5561
117	10.7921
118	6.54507
119	4.68499
120	21.8896
120	8.75586
121	3.5984
124	7.81349
125	8.23968
126	15.2586
137	7.16667
139	10.9206
141	0.454349
154	4.10525
157	2.73275
158	2.95862
159	3.06524
564	45.3146
565	31.0212
566	20.9776
567	12.7796
567	47.9236
568	12.8444
568	32.1111
569	10.8144
569	32.4433
570	8.17474
570	24.5242
571	6.12612
571	24.5045
572	6.15561
572	13.132
573	3.54677
574	3.55253
575	2.84781
576	2.87794
577	2.6898
578	2.25053
579	2.26022
580	2.12606
581	1.80353
584	2.37941
585	2.33103
586	2.03418
587	1.86932
588	13.1708
588	2.0526
589	0.789469
590	1.80647
591	2.50945
592	2.47808
593	2.21715
593	36.583
594	24.037
594	18.0278
595	14.3175
595	5.96561
596	5.96551
597	7.15862
597	5.1133
598	2.94898
599	2.97312
600	2.24313
601	2.24679
602	1.98047
603	36.0557
603	1.80278
604	2.07201
605	16.2853
605	7.32837
606	24.7425
606	12.3713
607	18.8685
607	25.158
608	38.1855
608	9.54638
608	25.457
609	38.7876
609	6.46459
610	39.4514
610	4.93142
611	5.02615
612	4.1318
613	3.77488
614	3.82857
615	3.23942
616	3.30746
617	2.86571
618	3.4017
619	3.46384
620	3.50705
621	2.36615
622	1.97267
623	1.64435
624	1.49189
625	1.50948
626	1.49883
627	1.48172
629	46.4337
630	45.0283
630	15.0094
631	45.1278
631	7.52131
632	0.722135
633	0.610834
633	27.4875
635	0.508548
636	0.435626
638	0.382167
639	0.390503
640	0.467001
659	41.4874
660	41.6181
661	41.1274
692	31.9087
693	20.6457
701	3.5822
702	14.8304
703	0.68993
704	7.17053
705	6.30839
706	6.42184
707	4.93304
708	4.49084
709	4.57456
710	5.57823
711	10.6956
711	42.7823
712	8.89524
712	44.4762
713	12.4263
714	15.9796
715	16.2136
715	48.6407
716	48.6893
716	16.2298
716	21.6397
717	9.61905
717	21.3757
718	9.60607
718	21.3468
725	47.9277
726	32.2897
727	16.383
728	12.3129
729	7.90218
730	8.03374
731	8.09891
756	39.7279
768	37.5397
770	56.5605
771	37.6776
925	26.6273
930	25.8503
933	28.3583
938	20.337
939	56.8214
961	43.7755
962	42.8776
1021	8.45765
1022	13.752
1023	8.96372
1024	8.68607
1025	25.5437
1055	5.48262
1061	17.8697
1062	12.2347
1063	30.447
1064	33.558
1065	7.94583
1066	24.4983
1067	12.9717
1068	18.3749
1069	19.0639
1070	14.6704
1071	8.88452
1072	7.09884
1073	8.89583
1074	7.02857
1075	10.915
1076	10.8693
1077	43.6062
1077	14.5354
1078	43.5799
1078	21.79
1079	43.5408
1079	19.3515
1080	28.9233
1080	43.3849
1081	19.1397
1081	28.7096
1082	18.9749
1082	42.6935
1083	18.7349
1083	14.0512
1084	18.6648
1084	10.4989
1085	18.4691
1085	13.8519
1086	27.7334
1086	18.4889
1087	18.6014
1087	8.37064
1088	18.873
1089	19.6633
1090	21.1795
1090	47.6538
1091	33.2602
1092	23.1973
1100	55.6052
1101	34.8289
1102	49.3906
1103	20.333
1104	18.7688
1105	17.1728
1106	34.8129
1108	27.7232
1109	25.2683
1109	25.2683
1110	23.4728
1110	15.6485
1111	22.2579
1111	9.89242
1112	21.3367
1113	14.2952
1114	9.65432
1115	4.17524
1116	1.50897
1117	18.5714
1118	18.1925
1119	18.8712
1120	0.965967
1121	12.6107
1122	12.0635
1123	0.53652
1123	4.24745
1124	0.30798
1124	15.399
1127	9.60695
1129	10.1412
1130	5.90183
1132	5.28883
1142	23.2432
1143	7.78652
1144	6.10665
1145	5.97328
1146	4.378
1147	5.76391
1148	5.64195
1149	4.50791
1150	9.17002
1214	33.737
1216	3.22557
1217	3.98054
1217	9.55329
1218	4.0102
1218	36.0918
1219	5.89569
1220	11.4609
1221	33.5897
1227	19.5836
1228	30.9362
1252	3.20261
1278	4.62596
1279	4.11409
1280	4.01139
1283	3.81332
1289	14.2653
1289	21.398
1290	22.4762
1290	9.98942
1291	24.4626
1291	8.15419
1292	5.12741
1293	6.93428
1294	6.86939
1294	11.449
1295	6.87891
1295	6.87891
1296	6.78005
1296	25.4252
1296	25.4252
1297	11.6175
1297	26.1395
1297	26.1395
1298	17.5578
1298	17.5578
1299	26.9437
1301	4.50728
1302	3.82726
1303	2.17132
1304	2.10157
1305	1.95788
1306	1.44878
1307	1.32009
1308	3.30038
1309	4.11968
1310	4.68178
1311	5.54563
1312	15.5522
1313	6.76373
1315	25.2364
1325	9.57176
1326	11.1973
1327	5.42871
1328	6.48101
1329	7.64979
1329	17.212
1336	14.2292
1337	4.09566
1341	17.0754
1342	17.1098
1344	11.9433
1345	5.84481
1420	15.7702
1455	11.8571
1456	6.62415
1457	5.34887
1458	6.57646
1459	11.5616
1460	11.4908
1461	8.48654
1462	11.2619
1463	8.3733
1464	11.1587
1465	11.2509
1466	11.2162
1467	11.3929
1471	20.3141
1472	21.593
1488	37.1804
1489	36.0694
1490	35.3759
1495	6.91284
1548	22.3889
1860	5.67485
1866	19.4444
1872	13.7753
1873	14.0573
1915	15.4586
1916	15.3827
1975	17.4814
1976	23.4974
1977	35.7887
1977	23.8591
1978	24.6627
1979	25.602
1980	39.9365
1982	42.5694
1983	43.4422
1984	4.9608
1984	28.938
1985	2.8758
1985	21.5685
1985	43.137
1986	1.53919
1987	1.02776
1988	1.18785
1989	1.65076
1989	10.7299
1990	1.51432
1990	8.48022
1991	1.75654
1992	42.089
1992	4.67656
1993	3.39229
1994	2.95578
1995	2.90889
1996	2.47217
1997	2.87314
1998	3.29219
1999	38.4473
1999	2.84795
2000	1.6828
