frame	IoU
1	21.891
2	21.1563
3	20.1269
4	19.8079
5	19.4405
6	19.0237
7	19.3128
8	19.4055
9	19.6079
10	19.9101
11	20.6715
12	21.1204
13	21.5849
14	22.2449
15	22.999
16	23.3049
17	23.9919
18	24.4682
19	25.503
20	26.3132
21	27.8883
22	29.25
23	30.25
24	31.3908
51	17.8735
51	17.8735
470	11.0887
471	10.5041
472	9.87161
473	9.54878
474	9.0957
475	9.02693
476	8.65828
477	8.64482
478	8.63059
479	8.69919
480	8.75356
481	9.17683
482	9.30793
483	10.0041
484	10.8062
485	12.122
486	13.7669
487	15.423
488	16.8841
489	18.3797
490	19.247
491	20.4146
492	21.2911
509	30.5369
509	30.5369
510	30.6148
511	30.4243
512	30.378
513	30.1067
514	30.1233
515	30.2507
516	30.2435
517	30.4588
518	30.8598
519	31.2624
520	31.5607
521	31.9263
522	32.3747
523	32.4392
524	32.5674
525	32.416
526	31.8415
527	29.3487
528	28.3384
529	27.6982
530	26.3427
531	25.3023
532	24.2881
533	23.3774
534	23.482
535	23.2378
536	23.5904
537	23.6535
538	24.007
539	24.1966
540	24.3987
541	24.5285
542	25.1524
543	24.9809
544	25.1897
545	24.9439
546	23.6662
547	22.2348
548	21.9451
549	21.8233
550	21.5264
551	21.5254
552	21.7053
553	21.9505
554	21.9195
555	22.0718
556	22.3493
557	22.5338
558	23.0304
559	23.3369
560	23.8635
561	24.5823
562	25.409
563	26.3003
564	27.0783
565	27.8056
566	28.2046
579	30.3889
609	23.1779
610	23.5746
611	24.0274
612	24.69
613	25.3769
614	25.7378
614	25.7378
615	26.1326
615	26.1326
616	26.6815
616	26.6815
617	26.9709
617	26.9709
618	27.4417
618	27.4417
619	27.9431
619	27.9431
620	28.2917
620	28.2917
621	28.6319
622	29.1751
651	25.5296
652	24.9407
653	24.8504
654	24.6519
655	24.4648
656	24.3972
657	24.5816
658	24.6596
659	24.7912
660	24.8693
661	24.5761
662	24.3679
663	24.4148
664	24.5686
665	24.4761
666	24.7696
667	25.0645
668	25.6433
669	26.7515
670	28.0455
671	28.891
672	29.5549
673	30.2314
674	31.0404
675	31.8407
676	33.122
677	34.4953
678	35.8725
679	36.7412
680	37.8787
681	38.0556
682	38.3826
683	38.4898
684	38.123
685	37.1697
686	36.8306
687	35.5655
688	34.212
689	32.592
690	30.7348
691	29.5495
692	28.6011
693	27.7584
694	26.9055
695	26.24
696	25.127
697	24.4816
698	23.9392
699	23.2698
700	22.7833
701	22.4761
702	22.1551
703	22.2629
704	22.4953
705	22.6179
706	23.0246
707	23.5823
708	24.1519
708	24.1519
709	24.6022
710	25
711	25.565
713	27.8455
714	28.6463
715	29.0658
721	28.4177
722	28.5578
722	28.5578
723	28.4993
724	28.4387
725	28.6397
726	28.9426
727	29.3696
728	29.4309
729	29.5127
730	30.0041
730	30.0041
731	30.2475
731	30.2475
732	30.8726
732	30.8726
733	31.2259
733	31.2259
733	31.2259
733	31.2259
734	31.6717
734	31.6717
735	31.813
735	31.813
735	31.813
736	32.0976
736	32.0976
736	32.0976
737	32.378
737	32.378
737	32.378
738	32.2209
738	32.2209
738	32.2209
739	31.6159
739	31.6159
739	31.6159
740	31.2393
740	31.2393
740	31.2393
741	31.3819
741	31.3819
742	31.7894
742	31.7894
743	31.94
744	32.6183
745	33.1054
746	33.8598
747	34.7365
748	35.4512
749	36.2719
750	37.2073
751	37.6321
753	37.4146
753	37.4146
754	37.075
755	36.4014
755	36.4014
756	35.6098
756	35.6098
756	35.6098
757	34.3159
758	33.2017
759	32.6966
760	32.4517
771	33.772
772	33.7676
773	33.9575
774	34.0183
775	34.3743
776	34.6016
777	34.8238
778	34.6692
783	36.408
784	37.3296
784	37.3296
785	39.0104
786	40.1352
787	40.7894
787	40.7894
788	41.6477
788	41.6477
789	42.248
789	42.248
790	42.0473
790	42.0473
791	41.893
791	41.893
792	41.5701
792	41.5701
793	40.8389
794	39.5254
794	39.5254
795	38.404
795	38.404
796	36.5972
796	36.5972
797	34.9238
798	33.4891
798	33.4891
799	31.954
799	31.954
800	30.4009
800	30.4009
801	28.6347
801	28.6347
802	26.945
802	26.945
803	25.7995
804	24.7588
804	24.7588
805	23.5759
805	23.5759
805	23.5759
806	22.6707
806	22.6707
806	22.6707
807	21.9795
807	21.9795
808	21.341
808	21.341
808	21.341
809	21.0027
809	21.0027
809	21.0027
810	20.9599
810	20.9599
811	20.7922
811	20.7922
811	20.7922
812	20.497
812	20.497
813	20.5691
813	20.5691
813	20.5691
814	20.7169
814	20.7169
815	20.7818
815	20.7818
816	21.0657
816	21.0657
817	21.5667
818	22.1599
819	22.8183
819	22.8183
820	23.1353
821	23.3695
822	23.642
823	23.548
823	23.548
824	23.4163
824	23.4163
825	23.1159
825	23.1159
826	21.5163
826	21.5163
827	21.5716
828	21.5359
829	21.4674
830	21.5671
830	21.5671
831	21.4126
831	21.4126
832	21.4583
833	21.1636
834	21
835	20.9583
836	20.9184
837	20.8762
838	20.8765
839	20.9604
840	20.625
841	20.5412
842	20.2507
842	20.2507
843	20.0442
844	20.003
844	20.003
845	20.0442
846	19.8797
847	19.7569
848	19.7978
849	19.7978
850	19.6751
851	19.8796
852	19.7978
852	19.7978
853	19.7976
853	19.7976
854	19.7555
855	19.9205
856	19.7547
856	19.7547
857	20.122
857	20.122
858	20.3598
859	20.7696
859	20.7696
860	20.8376
860	20.8376
861	21.2442
862	21.7027
863	22.206
864	22.5733
865	23.28
866	24.2642
867	24.7857
868	25.7427
869	26.6055
870	27.314
871	28.0059
872	28.5762
873	29.0476
874	29.1692
875	29.3144
876	29.2111
877	29.0442
878	28.8121
879	27.9461
880	26.5713
881	25.9172
882	24.6751
883	23.2265
884	21.6865
885	20.3712
886	19.5022
887	19.1402
888	18.8484
889	18.8196
890	18.7984
891	18.8327
892	18.8277
893	18.9931
894	19.2805
895	19.5434
896	19.81
897	19.9365
898	20.2913
899	20.0711
900	19.9519
901	19.584
902	19.3697
903	18.8758
903	18.8758
904	18.503
920	25.4384
921	26.6113
922	28.8489
923	30.5723
924	31.3013
925	31.8229
925	31.8229
926	32.0844
926	32.0844
926	32.0844
927	32.5314
927	32.5314
928	33.2757
929	33.8227
929	33.8227
930	34.7561
931	35.6758
932	36.8559
933	38.128
933	38.128
934	38.3897
934	38.3897
935	38.1829
936	37.8511
937	37.5051
938	36.4578
941	28.3718
942	27.4715
943	25.8157
948	22.9776
949	23.6232
949	23.6232
950	24.0838
950	24.0838
951	24.8095
951	24.8095
952	25.7607
953	26.4868
954	26.9223
955	27.0894
956	27.2317
957	27.2686
958	27.3704
959	27.0661
960	26.5945
961	26.1585
962	25.622
963	25.0603
963	25.0603
964	24.734
965	24.2388
965	24.2388
966	24.1417
967	23.9831
967	23.9831
968	23.8326
970	23.3841
971	22.8745
972	22.3689
973	21.8674
974	21.7043
975	21.4906
976	21.2993
977	21.3063
978	21.0239
979	21.0381
980	20.9253
981	20.9659
982	20.8184
983	13.7912
1013	28.2046
1014	28.2403
1014	28.2403
1015	27.7936
1015	27.7936
1016	27.558
1016	27.558
1017	27.558
1017	27.558
1018	26.5346
1018	26.5346
1019	26.125
1019	26.125
1020	25.8321
1020	25.8321
1021	25.2698
1021	25.2698
1022	24.6529
1022	24.6529
1023	24.1037
1060	16.123
1061	16.0174
1061	16.0174
1062	16.4497
1063	18.1939
1063	18.1939
1064	20.0529
1064	20.0529
1065	21.3665
1065	21.3665
1066	21.9588
1067	23.2541
1067	23.2541
1068	24.7053
1068	24.7053
1069	25.6316
1069	25.6316
1069	25.6316
1070	26.2994
1070	26.2994
1070	26.2994
1071	26.5452
1071	26.5452
1071	26.5452
1071	26.5452
1072	26.5124
1072	26.5124
1072	26.5124
1073	26.579
1073	26.579
1073	26.579
1074	26.25
1074	26.25
1075	26.0896
1075	26.0896
1076	25.9802
1076	25.9802
1076	25.9802
1077	26.0573
1077	26.0573
1077	26.0573
1077	26.0573
1077	26.0573
1077	26.0573
1078	26.0417
1078	26.0417
1078	26.0417
1078	26.0417
1078	26.0417
1079	26.0183
1079	26.0183
1079	26.0183
1079	26.0183
1080	25.9251
1080	25.9251
1080	25.9251
1080	25.9251
1081	25.7336
1081	25.7336
1081	25.7336
1081	25.7336
1081	25.7336
1082	25.5119
1082	25.5119
1082	25.5119
1082	25.5119
1082	25.5119
1083	25.1893
1083	25.1893
1083	25.1893
1083	25.1893
1084	25.095
1084	25.095
1084	25.095
1084	25.095
1084	25.095
1085	24.832
1085	24.832
1085	24.832
1085	24.832
1085	24.832
1086	24.8586
1086	24.8586
1086	24.8586
1087	25.0098
1087	25.0098
1087	25.0098
1087	25.0098
1088	25.375
1088	25.375
1088	25.375
1089	26.4375
1089	26.4375
1089	26.4375
1089	26.4375
1089	26.4375
1090	28.476
1090	28.476
1090	28.476
1091	29.8125
1092	31.189
1093	32.9521
1093	32.9521
1094	34.9905
1094	34.9905
1171	21.3442
1174	14.967
1176	11.8943
1177	11.6011
1178	11.3479
1179	10.2456
1180	9.8689
1181	9.13237
1182	8.73984
1183	9.22104
1184	9.92209
1185	11.0218
1186	13.3736
1187	16.1099
1188	19.0295
1221	20.0719
1222	19.2062
1223	18.086
1224	17.5471
1225	17.2808
1226	17.2176
1227	17.5536
1228	18.4863
1229	19.7754
1230	21.2652
1231	23.1994
1232	24.8132
1233	26.5324
1234	27.8622
1235	28.717
1241	21.8394
1242	19.9441
1243	18.9407
1244	18.2534
1245	17.3935
1246	16.4255
1247	15.4145
1275	14.7991
1429	12.0318
1430	12.3516
1431	13.3696
1432	14.227
1433	15.0169
1434	15.6872
1435	16.0618
1436	16.4096
1436	16.4096
1437	16.5619
1437	16.5619
1437	16.5619
1437	16.5619
1438	16.5124
1438	16.5124
1438	16.5124
1439	16.4503
1439	16.4503
1440	16.4727
1440	16.4727
1441	16.3039
1441	16.3039
1441	16.3039
1442	16.2197
1442	16.2197
1442	16.2197
1442	16.2197
1443	16.2764
1443	16.2764
1443	16.2764
1443	16.2764
1443	16.2764
1444	16.2483
1444	16.2483
1444	16.2483
1444	16.2483
1445	16.2483
1445	16.2483
1445	16.2483
1445	16.2483
1446	16.2034
1446	16.2034
1446	16.2034
1447	16.2871
1447	16.2871
1447	16.2871
1448	16.2932
1448	16.2932
1449	16.3211
1449	16.3211
1450	16.4054
1450	16.4054
1450	16.4054
1451	16.3125
1451	16.3125
1451	16.3125
1452	16.1687
1452	16.1687
1452	16.1687
1453	16.0482
1453	16.0482
1453	16.0482
1454	15.9426
1455	15.9421
1456	15.8333
1457	15.9814
1458	15.7193
1459	15.5447
1460	15.4495
1461	15.2137
1462	15.1418
1463	15.0107
1464	15.003
1464	15.003
1465	15.127
1465	15.127
1466	15.0803
1466	15.0803
1467	15.3178
1467	15.3178
1468	15.7157
1468	15.7157
1469	16.1839
1469	16.1839
1470	17.263
1470	17.263
1471	18.2083
1471	18.2083
1471	18.2083
1472	19.3547
1472	19.3547
1472	19.3547
1473	19.9236
1473	19.9236
1473	19.9236
1474	20.1328
1474	20.1328
1474	20.1328
1474	20.1328
1475	21.0206
1475	21.0206
1475	21.0206
1475	21.0206
1476	21.2431
1476	21.2431
1476	21.2431
1476	21.2431
1477	21.872
1477	21.872
1477	21.872
1477	21.872
1478	22
1478	22
1478	22
1478	22
1479	21.9489
1479	21.9489
1479	21.9489
1479	21.9489
1480	21.7884
1480	21.7884
1480	21.7884
1480	21.7884
1481	22.6037
1481	22.6037
1481	22.6037
1481	22.6037
1482	22.6114
1482	22.6114
1482	22.6114
1482	22.6114
1483	22.832
1483	22.832
1483	22.832
1483	22.832
1484	22.968
1484	22.968
1484	22.968
1484	22.968
1485	22.6636
1485	22.6636
1485	22.6636
1485	22.6636
1486	22.4472
1486	22.4472
1486	22.4472
1487	22.095
1487	22.095
1488	22.2176
1488	22.2176
1489	21.5537
1490	21.1392
1493	20.2151
1494	20.5107
1497	20.4043
1498	20.7771
1499	20.2663
1500	19.9756
1501	19.8027
1502	20.1164
1510	20.8469
1511	20.8504
1512	20.8565
1520	23.5259
1521	22.8645
1522	22.5267
1522	22.5267
1523	21.997
1523	21.997
1524	21.0213
1524	21.0213
1525	20.24
1525	20.24
1526	19.1015
1526	19.1015
1527	17.7968
1527	17.7968
1527	17.7968
1528	17.2548
1528	17.2548
1528	17.2548
1529	16.1448
1529	16.1448
1529	16.1448
1530	15.4085
1530	15.4085
1530	15.4085
1531	14.6468
1531	14.6468
1531	14.6468
1532	13.9367
1532	13.9367
1533	12.6416
1533	12.6416
1534	12.0884
1535	11.5304
1539	10.9776
1540	11.0909
1540	11.0909
1541	11.2724
1543	12.0719
1544	12.6921
1753	32.3062
1754	33.1369
1767	39.5918
1768	39.4962
1769	38.9695
1770	38.5664
1771	37.3891
1772	36.6489
1773	35.0322
1774	33.9559
1775	32.7737
1776	31.9677
1777	31.7131
1778	30.752
1779	30.6394
1780	30.4151
1781	30.4215
1782	29.9441
1783	30.0706
1784	30.0706
1785	30.2942
1786	30.7071
1787	30.657
1788	30.1245
1795	30.2966
1796	29.9431
1797	29.6572
1798	29.5573
1799	29.1246
1800	29.0515
1801	29.3659
1802	29.2476
1815	27.7659
1816	27.0043
1817	27.5014
1818	27.8
1819	28.5772
1820	29.2827
1821	29.3841
1822	29.4668
1823	29.8709
1824	30.9248
1825	31.0803
1826	31.5477
1827	31.958
1828	32.6376
1829	33.0152
1830	34.0081
1831	34.574
1832	35.6254
1833	37.5014
1834	39.1151
1835	39.9028
1836	40.0283
1837	40.434
1838	40.3099
1839	40.9263
1840	40.9796
1841	40.4316
1844	40.0713
1845	39.8281
1846	39.6111
1847	38.9405
1848	37.9975
1849	36.6103
1850	34.3422
1851	30.6614
1852	27.153
1853	23.9273
1854	21.3364
1854	21.3364
1855	19.4947
1856	18.0488
1857	16.8049
1858	15.5051
1859	14.2881
1860	13.5643
1861	12.9573
1861	12.9573
1862	12.2624
1862	12.2624
1863	11.6613
1863	11.6613
1864	11.3067
1864	11.3067
1865	11.3123
1865	11.3123
1866	11.6192
1866	11.6192
1867	11.96
1867	11.96
1868	11.9272
1868	11.9272
1869	12.0686
1869	12.0686
1870	12.072
1870	12.072
1871	12.1179
1872	12.3474
1873	12.6001
1873	12.6001
1874	12.9724
1875	13.1838
1876	13.2982
1877	13.3802
1939	20.3247
1940	18.7144
1941	18.3706
1942	18.107
1942	18.107
1943	18.1822
1943	18.1822
1944	18.2607
1945	18.3435
1946	18.2491
1947	18.1921
1948	18.125
1948	18.125
1949	17.7835
1950	17.6795
1951	17.5127
1952	17.3752
1953	17.3117
1954	17.3923
1954	17.3923
1955	17.8174
1956	18.4063
1956	18.4063
1957	19.0087
1957	19.0087
1958	19.6138
1958	19.6138
1959	20.0347
1959	20.0347
1960	20.4782
1961	20.6968
1962	21.0353
1963	21.2771
1963	21.2771
1964	21.5943
1965	21.5672
1966	21.664
1967	21.6363
1968	21.4461
1969	21.18
1974	20.6936
1975	20.8924
1976	21.0617
1977	21.3859
1978	22.1062
1978	22.1062
1979	22.9482
1979	22.9482
1980	23.8645
1980	23.8645
1981	24.9522
1982	25.4378
1983	25.9593
1984	25.9383
1985	25.777
1986	25.7533
1987	25.7944
1988	25.5532
1991	25.1913
