frame	IoU
2	95.9343
2	95.9343
2	68.0319
2	68.0319
3	91.2665
3	91.2665
3	16.8552
3	17.6803
3	5941.45
4	17.8
4	17.4001
4	5847.3
5	17.7125
5	17.0774
5	5738.85
6	18.0138
6	16.7112
7	19.1796
7	16.9651
8	20.0035
8	17.0466
9	20.8811
10	23.1624
11	23.3802
12	26.0596
13	25.6722
14	27.8693
15	29.0638
16	29.4503
17	30.5902
18	31.7007
19	34.1429
20	36.1959
21	37.4593
22	40.5095
23	40.6316
24	42.8908
25	44.661
26	42.2392
27	42.0905
28	40.9691
28	15950.6
28	15950.6
28	1132.59
29	39.5454
29	15396.3
29	15396.3
29	192.454
29	463.048
30	184.129
30	443.018
30	443.018
30	654.681
31	410.045
31	410.045
31	605.956
31	10907.2
31	503.409
31	1652.61
31	649.238
31	779.086
32	10413.9
32	480.642
32	1577.86
32	619.875
32	743.85
32	480.642
33	266.242
33	380.345
33	380.345
33	23961.8
34	241.15
34	344.5
34	344.5
34	21703.5
34	542.588
34	32555.3
34	581.344
35	246.182
35	1536.24
35	528.083
35	492.877
35	9857.54
35	985.754
35	1536.24
35	622.582
36	119.322
36	624.148
36	124.095
36	439.504
36	659.256
36	879.008
36	1369.88
36	555.163
36	439.504
36	549.38
37	19.1469
37	583.243
37	114.083
37	410.7
37	616.05
37	821.4
37	518.779
37	410.7
37	513.375
37	513.375
37	821.4
38	17.2246
38	102.63
38	246.313
38	461.836
38	461.836
38	738.938
38	7389.38
39	84.6878
39	112.087
39	266.767
39	1455.09
39	266.767
39	2000.75
39	762.19
39	1455.09
39	808.384
39	13338.3
39	808.384
40	22.6244
40	102
40	242.76
40	168.583
40	242.76
40	89.6897
40	693.6
40	1324.15
40	735.636
40	12138
40	735.636
40	2080.8
40	89.6897
41	21.6367
41	79.8496
41	147.5
41	78.4729
41	1820.57
41	78.4729
41	10620
41	2360
41	2360
42	10.0909
42	72.3308
42	9620
42	2137.78
42	2137.78
43	8.97984
44	7.82744
44	3209.25
44	3209.25
45	7.00934
45	2949.43
45	2949.43
46	7.73027
46	24.1458
46	1897.46
47	8.27959
47	50.0656
47	40.9744
47	40.9744
48	8.66963
48	44.9003
48	44.9003
49	10.9655
50	12.99
51	16.7553
52	21.2161
53	23.109
53	157.016
54	23.894
55	26.1118
56	27.7926
57	29.5866
58	30.8399
59	31.7513
60	30.064
61	30.8738
62	30.6674
63	31.4921
64	30.3581
65	29.6423
66	30.4142
67	29.3934
68	20.6242
69	25.3287
69	156.163
69	21823.8
70	15.1796
70	149.665
71	13.9393
71	2049.36
71	2049.36
71	4867.22
72	21.1282
72	3172.75
72	21756
73	21.749
73	3082.92
73	1681.59
73	1681.59
74	22.9184
74	1656.38
74	1656.38
74	1656.38
75	28.9566
75	1563.66
75	3822.28
76	24.0672
76	3580.67
76	3580.67
76	3580.67
