frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
1	1	0	0	0	1
2	1	4	4	0	0
3	1	5	5	0	0
4	1	3	3	0	0
5	1	3	3	0	0
6	1	2	2	0	0
7	1	2	2	0	0
8	1	2	2	0	0
9	1	2	1	1	0
10	1	2	1	1	0
11	1	1	1	0	0
12	1	1	1	0	0
13	1	1	1	0	0
14	1	1	1	0	0
15	1	1	1	0	0
16	1	1	1	0	0
17	1	1	1	0	0
18	1	1	1	0	0
19	1	1	1	0	0
20	1	1	1	0	0
21	1	1	1	0	0
22	1	1	1	0	0
23	1	1	1	0	0
24	1	1	1	0	0
25	1	1	1	0	0
26	1	1	1	0	0
27	1	1	1	0	0
28	1	4	4	0	0
29	1	5	5	0	0
30	1	4	4	0	0
31	1	8	8	0	0
32	1	6	6	0	0
33	1	4	4	0	0
34	1	7	7	0	0
35	1	8	8	0	0
36	1	10	10	0	0
37	1	11	11	0	0
38	1	7	7	0	0
39	1	11	11	0	0
40	1	13	13	0	0
41	1	9	9	0	0
42	1	5	5	0	0
43	1	1	1	0	0
44	1	3	3	0	0
45	1	3	3	0	0
46	1	5	3	2	0
47	1	8	4	4	0
48	1	5	3	2	0
49	1	1	1	0	0
50	1	1	1	0	0
51	1	1	1	0	0
52	1	3	1	2	0
53	1	5	2	3	0
54	1	7	1	6	0
55	1	8	1	7	0
56	1	10	1	9	0
57	1	13	1	12	0
58	1	17	1	16	0
59	1	17	1	16	0
60	1	16	1	15	0
61	1	15	1	14	0
62	1	16	1	15	0
63	1	17	1	16	0
64	1	19	1	18	0
65	1	20	1	19	0
66	1	19	1	18	0
67	1	21	1	20	0
68	1	23	1	22	0
69	1	20	3	17	0
70	1	25	2	23	0
71	1	22	4	18	0
72	1	15	3	12	0
73	1	16	4	12	0
74	1	17	4	13	0
75	1	17	3	14	0
76	1	22	4	18	0
77	1	21	3	18	0
78	1	19	2	17	0
79	1	22	5	17	0
80	1	23	4	19	0
81	1	24	3	21	0
82	1	20	5	15	0
83	1	15	4	11	0
84	1	15	3	12	0
85	1	16	1	15	0
