frame	IoU
1	0.390625
25	0.390625
29	0.390625
30	0.390625
31	0.390625
32	0.390625
41	0.390625
45	0.390625
46	0.390625
47	0.390625
48	0.390625
49	0.390625
61	0.390625
62	0.390625
63	0.390625
64	0.390625
65	0.390625
72	0.390625
73	0.390625
77	0.390625
79	0.390625
80	0.390625
88	0.390625
93	0.390625
94	0.390625
95	0.390625
96	0.390625
110	0.390625
111	0.390625
112	0.390625
113	0.390625
121	0.390625
126	0.390625
127	0.390625
128	0.390625
129	0.390625
137	0.390625
142	0.390625
143	0.390625
144	0.390625
145	0.390625
151	0.390625
153	0.390625
157	0.390625
158	0.390625
159	0.390625
160	0.390625
161	0.390625
167	0.390625
169	0.390625
173	0.390625
174	0.390625
175	0.390625
176	0.390625
177	0.390625
184	0.390625
185	0.390625
189	0.390625
190	0.390625
191	0.390625
192	0.390625
193	0.390625
200	0.390625
202	0.390625
206	0.390625
207	0.390625
208	0.390625
209	0.390625
216	0.390625
217	0.390625
221	0.390625
222	0.390625
224	0.390625
225	0.390625
237	0.390625
238	0.390625
239	0.390625
240	0.390625
241	0.390625
248	0.390625
253	0.390625
254	0.390625
255	0.390625
256	0.390625
257	0.390625
269	0.390625
270	0.390625
271	0.390625
272	0.390625
286	0.390625
287	0.390625
288	0.390625
289	0.390625
301	0.390625
302	0.390625
303	0.390625
304	0.390625
305	0.390625
311	0.390625
317	0.390625
318	0.390625
319	0.390625
333	0.390625
334	0.390625
335	0.390625
343	0.390625
345	0.390625
349	0.390625
350	0.390625
351	0.390625
352	0.390625
359	0.390625
361	0.390625
365	0.390625
366	0.390625
367	0.390625
375	0.390625
376	0.390625
381	0.390625
382	0.390625
391	0.390625
397	0.390625
398	0.390625
399	0.390625
400	0.390625
409	0.390625
413	0.390625
414	0.390625
415	0.390625
425	0.390625
429	0.390625
430	0.390625
431	0.390625
432	0.390625
445	0.390625
446	0.390625
447	0.390625
454	0.390625
455	0.390625
456	0.390625
458	0.390625
461	0.390625
462	0.390625
463	0.390625
464	0.390625
471	0.390625
472	0.390625
477	0.390625
478	0.390625
479	0.390625
488	0.390625
490	0.390625
493	0.390625
494	0.390625
495	0.390625
504	0.390625
508	0.390625
509	0.390625
510	0.390625
511	0.390625
525	0.390625
526	0.390625
527	0.390625
528	0.390625
540	0.390625
541	0.390625
542	0.390625
543	0.390625
544	0.390625
545	0.390625
553	0.390625
556	0.390625
557	0.390625
558	0.390625
559	0.390625
573	0.390625
574	0.390625
576	0.390625
589	0.390625
590	0.390625
591	0.390625
592	0.390625
