frame	IoU
1	0.429992
2	0.429992
3	0.429992
4	0.429992
5	0.535296
6	0.535296
7	0.429992
8	0.535296
9	0.535296
10	0.666389
11	0.535296
12	0.666389
13	0.429992
14	0.429992
15	0.429992
16	0.535296
17	0.535296
18	0.535296
19	0.359308
20	0.535296
21	0.535296
22	0.429992
23	0.666389
24	0.666389
25	0.429992
26	0.429992
27	0.429992
28	0.535296
29	0.535296
30	0.535296
31	0.535296
32	0.535296
33	0.429992
34	0.535296
35	0.535296
36	0.535296
37	0.429992
38	0.429992
39	0.429992
40	0.429992
41	0.535296
42	0.666389
43	0.535296
44	0.535296
45	0.535296
46	0.666389
47	0.666389
48	0.535296
49	0.429992
50	0.429992
51	0.429992
52	0.535296
53	0.535296
54	0.429992
55	0.429992
56	0.535296
57	0.535296
58	0.535296
59	0.666389
60	0.429992
61	0.429992
62	0.429992
63	0.429992
64	0.429992
65	0.535296
66	0.535296
67	0.666389
68	0.535296
69	0.535296
70	0.535296
71	0.666389
72	0.429992
73	0.429992
74	0.429992
75	0.429992
76	0.535296
77	0.535296
78	0.429992
79	0.535296
80	0.535296
81	0.535296
82	0.666389
83	0.666389
84	0.429992
85	0.535296
86	0.429992
87	0.429992
88	0.429992
89	0.535296
90	0.429992
91	0.429992
92	0.535296
93	0.535296
94	0.666389
95	0.429992
96	0.535296
97	0.429992
98	0.429992
99	0.429992
100	0.429992
101	0.535296
102	0.429992
103	0.429992
104	0.535296
105	0.535296
106	0.535296
107	0.535296
108	0.429992
109	0.429992
110	0.429992
111	0.429992
112	0.429992
113	0.535296
114	0.535296
115	0.535296
116	0.535296
117	0.429992
118	0.535296
119	0.535296
120	0.429992
121	0.429992
122	0.429992
123	0.429992
124	0.429992
125	0.535296
126	0.535296
127	0.429992
128	0.535296
129	0.535296
130	0.535296
131	0.666389
132	0.429992
133	0.429992
134	0.429992
135	0.429992
136	0.429992
137	0.429992
138	0.429992
139	0.429992
140	0.535296
141	0.535296
142	0.666389
143	0.535296
144	0.535296
145	0.429992
146	0.429992
147	0.429992
148	0.535296
149	0.535296
150	0.535296
151	0.535296
152	0.535296
153	0.535296
154	0.666389
155	0.535296
156	0.429992
157	0.429992
158	0.429992
159	0.429992
160	0.535296
161	0.535296
162	0.535296
163	0.535296
164	0.535296
165	0.535296
166	0.535296
167	0.535296
168	0.535296
169	0.429992
170	0.429992
171	0.429992
172	0.429992
173	0.535296
174	0.359308
175	0.429992
176	0.535296
177	0.535296
178	0.666389
179	0.535296
180	0.535296
181	0.429992
182	0.429992
183	0.429992
184	0.429992
185	0.535296
186	0.429992
187	0.535296
188	0.535296
189	0.535296
190	0.535296
191	0.429992
192	0.429992
193	0.429992
194	0.429992
195	0.429992
196	0.429992
197	0.535296
198	0.535296
199	0.666389
200	0.535296
201	0.535296
202	0.535296
203	0.666389
204	0.535296
205	0.429992
206	0.429992
207	0.429992
208	0.535296
209	0.535296
210	0.535296
211	0.429992
212	0.535296
213	0.535296
214	0.429992
215	0.666389
216	0.666389
217	0.429992
218	0.429992
219	0.429992
220	0.429992
221	0.535296
222	0.429992
223	0.429992
224	0.535296
225	0.535296
226	0.535296
227	0.666389
228	0.429992
229	0.429992
230	0.429992
231	0.429992
232	0.535296
233	0.535296
234	0.429992
235	0.535296
236	0.535296
237	0.429992
238	0.535296
239	0.535296
240	0.429992
241	0.429992
242	0.429992
243	0.429992
244	0.535296
245	0.535296
246	0.429992
247	0.535296
248	0.535296
249	0.535296
250	0.535296
251	0.535296
252	0.535296
253	0.429992
254	0.429992
255	0.429992
256	0.535296
257	0.535296
258	0.429992
259	0.429992
260	0.535296
261	0.535296
262	0.535296
263	0.429992
264	0.429992
265	0.429992
266	0.429992
267	0.429992
268	0.535296
269	0.535296
270	0.429992
271	0.535296
272	0.535296
273	0.535296
274	0.666389
275	0.535296
276	0.535296
277	0.429992
278	0.429992
279	0.429992
280	0.429992
281	0.535296
282	0.429992
283	0.535296
284	0.535296
285	0.535296
286	0.666389
287	0.535296
288	0.535296
289	0.429992
290	0.429992
291	0.429992
292	0.429992
293	0.429992
294	0.535296
295	0.429992
296	0.666389
297	0.535296
298	0.535296
299	0.429992
300	0.429992
301	0.535296
302	0.535296
303	0.429992
304	0.429992
305	0.429992
306	0.535296
307	0.666389
308	0.666389
309	0.535296
310	0.535296
311	0.429992
312	0.429992
313	0.535296
314	0.535296
315	0.429992
316	0.429992
317	0.429992
318	0.429992
319	0.666389
320	0.359308
321	0.535296
322	0.535296
323	0.535296
324	0.535296
325	0.535296
326	0.429992
327	0.535296
328	0.429992
329	0.535296
330	0.666389
331	0.666389
332	0.666389
333	0.535296
334	0.535296
335	0.429992
336	0.535296
337	0.535296
338	0.535296
339	0.429992
340	0.429992
341	0.429992
342	0.535296
343	0.535296
344	0.535296
345	0.429992
346	0.429992
347	0.535296
348	0.666389
349	0.666389
350	0.666389
351	0.429992
352	0.429992
353	0.429992
354	0.535296
355	0.429992
356	0.429992
357	0.429992
358	0.429992
359	0.429992
360	0.666389
361	0.535296
362	0.666389
363	0.429992
364	0.535296
365	0.429992
366	0.535296
367	0.535296
368	0.429992
369	0.429992
370	0.429992
371	0.535296
372	0.535296
373	0.666389
374	0.429992
375	0.429992
376	0.429992
377	0.429992
378	0.429992
