frame	IoU
1	1.03359
3	0.886918
4	0.826446
5	0.790514
6	1.05263
7	1.02564
8	1.10803
9	1.10803
13	1.07962
14	1.02696
15	0.97561
16	0.951814
17	0.951814
18	0.865333
19	0.808081
20	0.97561
21	1.00063
22	1.02564
24	1.02564
26	0.97561
27	0.976801
28	0.979192
29	0.940071
30	0.888889
31	0.976801
32	0.930233
33	0.915332
34	1.02564
35	0.97561
36	1.08108
37	1.05263
38	1.07962
39	0.97561
40	0.97561
41	0.930233
42	0.932401
43	0.954085
44	0.886918
45	0.911681
46	0.888889
47	0.869565
48	0.666667
49	0.640256
50	1.05194
52	1.26984
54	1.1088
55	1.10803
56	1.00063
57	0.97561
58	0.951814
59	0.907029
60	0.907544
61	1.02564
62	1
63	0.952381
65	1.17647
67	1.0582
68	1.20301
69	1.05194
70	0.951814
71	0.976801
72	0.885936
73	0.885936
74	0.865801
75	0.865801
76	1.1088
77	1.13798
78	1.1396
79	1.2012
83	1.2432
90	1.16874
91	1.26984
92	1.23457
93	1.30612
94	1.26984
95	1.10803
96	1.07962
97	1.1088
98	1.02696
99	0.979192
100	1.0296
102	0.888889
109	1.23552
110	1.13798
111	1.05263
112	1.08108
113	1.00063
114	0.97561
115	0.907544
116	0.885936
119	0.694444
122	0.680272
124	1.16874
125	1.02564
126	0.97561
127	0.929152
128	0.951814
129	0.885936
130	0.865801
131	1.13798
132	1.13798
133	1.13798
135	1.23457
137	1.16874
138	1.23552
140	1.06952
145	1.10803
146	1.13798
147	1.1088
149	1.23552
150	1.1088
152	1.10803
153	0.97561
154	1.05263
155	1.00251
156	1.00251
159	0.976801
160	0.979192
161	1.13798
164	1.10803
165	1.05194
166	1.02564
167	1.00063
168	1.00063
169	0.907029
170	0.865801
171	0.845666
172	1.05194
174	1.08108
175	1.08108
176	1.1088
178	1.03359
179	1.05263
180	1.02564
181	0.929152
182	0.929152
183	0.886918
184	0.865333
185	0.826873
186	1.02564
187	1.07962
189	1.07962
190	1.2012
192	1.13798
193	1.10803
194	1.11111
195	1.03896
199	0.932401
200	1.02564
201	1.02696
204	1.2012
205	1.1088
206	1.02564
207	1.02564
208	1.02564
209	1.02564
210	1.00063
211	1.02696
212	0.930233
213	0.909091
214	1.00063
215	0.976801
216	1.16874
217	1.2012
219	1.16874
220	1.1396
221	1.10803
222	0.976801
223	1.00566
224	0.951814
225	0.907029
226	0.907029
227	0.907029
228	1.02564
229	1.00063
231	1.14286
232	1.17647
235	1.00063
236	1.00251
237	0.909091
238	0.930233
239	0.886918
240	0.865801
241	1.00063
242	1.02696
243	1.00251
244	1.00251
247	1.11111
248	1.11111
249	1.14286
250	1.08844
251	1.00125
253	0.911681
254	0.891862
255	1.0582
256	0.979192
257	1.0582
258	1.11111
259	1.11111
260	1.07962
261	1.00063
262	1.08108
263	1.00251
264	1.08844
265	1.0582
266	0.935673
267	0.915332
268	0.8
269	0.911681
270	0.640256
271	1.16874
272	1.07962
273	1.02564
