frame	IoU
3	0.867209
4	0.808081
15	0.976801
16	1.00063
17	0.907029
18	0.865333
19	0.826446
27	1.0296
28	1.0101
29	0.945626
31	0.97561
32	0.930233
33	0.888889
34	1
35	0.952381
36	1.13798
39	1.05194
42	0.909091
43	0.956938
44	0.932401
46	0.846561
48	0.954085
54	1.13798
55	1.05263
56	1.02696
57	1.02564
58	1.00063
59	0.907544
62	1.02564
69	1.05194
70	0.97561
71	0.954085
72	0.886918
74	0.826873
75	1.05263
78	1.16959
95	1.2012
97	1.08108
98	1.14286
99	0.979192
111	1.02696
112	1.05263
113	1.05263
114	0.951814
115	0.907544
116	0.907029
117	1.13798
126	1.00251
127	0.979192
129	0.907029
131	1.07962
137	1.30612
138	1.16874
145	1.16959
152	1.05194
154	1.05263
155	1.0296
162	1.16874
164	1.05194
165	1.07962
166	1.05263
167	1.00063
168	0.97561
169	0.929152
170	0.907029
171	0.845666
180	1.07962
181	0.976801
182	0.930233
183	0.886918
185	0.885936
187	1.05263
188	1.1088
193	1.1088
194	1.08401
195	1.03896
200	1.05194
201	0.976801
206	1.05194
208	1.02564
209	1.02696
211	0.976801
212	0.97561
219	1.13798
220	1.1088
221	1.05263
222	1.02696
223	1.00251
224	0.929152
225	0.929152
226	0.885936
227	0.907544
228	1.02564
235	1.08108
236	0.930233
237	0.909091
238	0.909091
239	0.865801
240	0.846561
241	1.08108
242	1.07962
243	1.1088
244	1.00251
250	1.08844
253	0.891862
254	0.869565
255	0.854701
256	1.0296
257	1.0582
258	1.14286
259	1.14286
260	1.1088
261	1.05471
262	1.05471
263	1.0296
264	1.08844
265	1.00566
266	0.872886
267	0.920069
268	0.854701
271	1.13798
272	1.10803
275	1.07962
276	1.00063
277	1.05471
278	1.14286
279	1.0296
280	0.954085
281	0.909091
282	0.808898
283	0.979192
284	0.891862
285	0.653595
286	0.627451
287	0.654664
290	0.869565
291	0.882515
292	0.851064
293	0.888889
294	0.907544
295	1.00063
296	0.907544
297	0.952381
298	0.929152
299	0.907544
300	0.828157
301	0.911681
302	0.987654
303	1.0101
304	1.02302
305	1.03896
306	1.04575
309	1.13798
310	1.10803
311	1.13798
312	1.05263
313	0.97561
314	0.846561
315	0.885936
316	0.951814
317	1.00063
318	1.00063
319	1.05263
325	1.06312
328	0.869565
329	0.833333
330	0.888889
331	0.909091
332	0.932401
333	0.979192
334	0.979192
337	1.00566
340	0.976801
342	0.793651
343	0.888889
344	0.911681
345	0.867209
346	0.911681
347	0.888889
348	0.952381
349	0.976801
352	0.97561
354	0.952381
365	1.13798
369	0.828157
370	0.885936
371	0.907544
372	0.930233
373	1.08108
381	1.00063
382	1.05194
384	0.845666
385	0.907544
386	0.909091
387	0.954085
388	0.932401
389	0.952381
391	1
396	1.02696
397	0.810537
398	0.810537
399	0.828157
400	0.826873
401	0.907544
402	0.929152
403	0.97561
404	1.05194
408	1
409	1.05194
413	0.900901
415	1.0296
424	0.97561
426	0.869565
427	0.891862
432	1.1396
439	0.885936
440	0.951814
441	1.05471
442	0.954085
443	0.979192
444	0.954085
445	1.10803
446	1.05194
454	0.930233
455	0.954085
457	1.02564
458	1.05263
463	1.1088
464	1.07962
471	1.20301
476	1.1088
477	1.1088
478	1.16959
479	1.05263
480	0.846561
482	0.886918
483	1.00251
484	1.05471
491	1.13798
492	1.10803
493	1.07962
494	0.907544
496	0.97561
497	1.00251
498	1.00063
499	1
500	1.1088
frame	IoU
2	0.956938
3	0.909091
4	0.826873
15	0.976801
16	1.00063
17	0.929152
18	0.845666
19	0.845666
25	1.07962
29	0.966184
32	0.886918
33	0.909091
34	1
43	0.956938
44	0.911681
54	1.07962
55	1.07962
56	1.07962
57	0.952381
58	1.02696
59	0.97561
60	0.951814
62	1.02564
64	1.07962
69	1.07962
70	0.97561
71	0.930233
72	0.886918
74	0.846561
75	1.02696
76	1.2012
95	1.13798
97	1.07962
98	1.11111
99	0.979192
111	1.08108
112	1.05263
113	1.02564
114	0.929152
115	0.952381
116	0.907029
125	1.1088
126	1.02696
127	0.954085
129	0.907029
131	1.05194
154	0.97561
161	1.1088
162	1.10803
163	1.23552
164	1.16874
165	1.07962
167	1.02564
168	1.00063
169	0.929152
170	0.885936
180	1.05263
181	0.952381
182	0.952381
183	0.909091
185	0.865801
188	1.07962
193	1.16959
194	1.11498
200	1.10803
206	1.05194
209	1.08108
210	1.02696
212	0.97561
213	0.932401
219	1.2012
220	1.05194
221	1.1088
222	1.00063
223	1.00063
224	0.930233
225	0.929152
226	0.907544
227	0.907544
235	1.05471
236	0.930233
237	0.909091
238	0.886918
239	0.846561
240	0.828157
241	0.888889
242	1.1088
243	1.1396
253	0.891862
254	0.935673
255	0.833333
256	1.00566
257	1.11498
258	1.14286
259	1.17216
260	1.05263
262	1.02696
263	1.0296
264	1.0296
265	1.03359
266	0.960961
267	0.895857
269	0.954085
271	1.16874
272	1.02564
273	1.10803
275	1.05194
276	1.1088
277	1.05471
278	1.1396
279	1.00251
280	0.954085
281	0.911681
282	0.828157
284	0.915332
285	0.680851
287	0.627943
288	0.666389
290	0.888889
291	0.900901
292	0.915332
293	0.848356
294	0.865801
295	0.640256
296	1.02564
297	1.02696
298	0.952381
299	0.954085
300	0.828157
301	0.932401
302	1.0101
303	1.06952
304	0.993789
305	1.03896
306	1.04575
309	1.13798
310	1.16874
311	1.13798
