frame	IoU
3	0.201638
4	0.252048
5	0.151229
6	0.189036
7	0.151229
8	0.252048
9	0.189036
10	0.189036
11	0.189036
12	0.151229
13	0.151229
14	0.151229
15	0.151229
16	0.151229
17	0.189036
18	0.189036
19	0.189036
20	0.189036
21	0.189036
22	0.189036
23	0.189036
24	0.336064
25	0.252048
26	0.252048
27	0.336064
28	0.189036
29	0.189036
30	0.189036
31	0.189036
32	0.189036
33	0.189036
34	0.504096
35	0.151229
36	0.151229
37	0.151229
38	0.189036
39	0.189036
40	0.189036
41	0.189036
42	0.189036
43	0.189036
44	0.252048
45	0.189036
46	0.252048
47	0.151229
48	0.189036
49	0.252048
50	0.252048
51	0.189036
52	0.189036
53	0.252048
54	0.189036
55	0.189036
56	0.189036
57	0.189036
58	0.189036
59	0.151229
60	0.151229
61	0.201638
62	0.189036
63	0.189036
64	0.189036
65	0.189036
66	0.189036
67	0.189036
68	0.189036
69	0.189036
70	0.252048
71	0.151229
72	0.252048
73	0.201638
74	0.189036
75	0.189036
76	0.151229
77	0.189036
78	0.189036
79	0.189036
80	0.189036
81	0.151229
82	0.151229
83	0.151229
84	0.151229
85	0.189036
86	0.189036
87	0.189036
88	0.189036
89	0.189036
90	0.189036
91	0.189036
92	0.189036
93	0.252048
94	0.201638
95	0.189036
96	0.151229
97	0.252048
98	0.189036
99	0.189036
100	0.189036
101	0.189036
102	0.189036
103	0.189036
104	0.151229
105	0.151229
106	0.151229
107	0.151229
108	0.189036
109	0.189036
110	0.189036
111	0.189036
112	0.189036
113	0.189036
114	0.252048
115	0.189036
116	0.336064
117	0.252048
118	0.336064
119	0.252048
120	0.189036
121	0.189036
122	0.189036
123	0.189036
124	0.189036
125	0.189036
126	0.189036
127	0.189036
128	0.151229
129	0.151229
130	0.252048
131	0.151229
132	0.189036
133	0.189036
134	0.189036
135	0.189036
136	0.189036
137	0.189036
138	0.189036
139	0.151229
140	0.252048
141	0.252048
142	0.252048
143	0.252048
144	0.151229
145	0.151229
146	0.189036
147	0.189036
148	0.189036
149	0.189036
150	0.151229
151	0.189036
152	0.201638
153	0.189036
154	0.189036
155	0.189036
156	0.189036
157	0.189036
158	0.189036
159	0.189036
160	0.189036
161	0.336064
162	0.252048
163	0.151229
164	0.189036
165	0.252048
166	0.201638
167	0.189036
168	0.189036
169	0.201638
170	0.151229
171	0.189036
172	0.189036
173	0.189036
174	0.189036
175	0.151229
176	0.252048
177	0.151229
178	0.189036
179	0.189036
180	0.189036
181	0.252048
182	0.189036
183	0.189036
184	0.189036
185	0.189036
186	0.252048
187	0.189036
188	0.189036
189	0.252048
190	0.189036
191	0.151229
192	0.189036
193	0.189036
194	0.189036
195	0.189036
196	0.151229
197	0.151229
198	0.201638
199	0.151229
200	0.151229
201	0.189036
202	0.189036
203	0.252048
204	0.189036
205	0.189036
206	0.252048
207	0.252048
208	0.189036
209	0.252048
210	0.189036
211	0.189036
212	0.189036
213	0.189036
214	0.189036
215	0.189036
216	0.189036
217	0.189036
218	0.189036
219	0.151229
220	0.151229
221	0.151229
222	0.151229
223	0.151229
224	0.189036
225	0.189036
226	0.252048
227	0.189036
228	0.189036
229	0.189036
230	0.336064
231	0.189036
232	0.252048
233	0.252048
234	0.252048
235	0.201638
236	0.336064
237	0.252048
238	0.189036
239	0.189036
240	0.189036
241	0.189036
242	0.151229
243	0.151229
244	0.151229
245	0.189036
246	0.151229
247	0.189036
248	0.189036
249	0.189036
250	0.189036
251	0.189036
252	0.189036
253	0.189036
254	0.252048
255	0.252048
256	0.252048
257	0.252048
258	0.252048
259	0.189036
260	0.189036
261	0.201638
262	0.189036
263	0.189036
264	0.189036
265	0.189036
266	0.151229
267	0.151229
268	0.201638
269	0.189036
270	0.189036
271	0.189036
272	0.189036
273	0.189036
274	0.189036
275	0.201638
276	0.189036
277	0.189036
278	0.336064
279	0.252048
280	0.252048
281	0.151229
282	0.189036
283	0.189036
284	0.189036
285	0.189036
286	0.189036
287	0.189036
288	0.189036
289	0.189036
290	0.252048
291	0.252048
292	0.378072
293	0.189036
294	0.189036
295	0.189036
296	0.189036
