frame	IoU
2	0.367309
3	0.367309
3	0.367309
4	0.430108
4	0.367309
5	0.416233
6	0.416233
7	0.430108
7	0.430108
8	1.11888
8	0.888889
9	0.423057
9	0.423057
10	0.409836
10	0.403226
11	1.02041
11	1.06101
12	0.409836
12	0.409836
13	0.403226
13	0.409836
14	1.1396
14	0.952381
15	1.02041
15	0.952381
16	1.02041
17	4.16667
18	1.48148
18	0.390625
19	0.935673
19	1.0989
19	0.390625
20	0.952381
20	0.987654
21	1.07962
21	1.1396
22	1.07962
22	0.969697
23	2.13333
23	1.06101
24	1.5444
24	0.403226
24	0.431034
25	1.5444
25	0.416233
25	0.431034
26	0.811359
26	1.07962
27	0.423057
27	0.437397
28	1.0989
28	0.811359
29	1.14943
29	1.0989
30	0.403226
30	0.403226
31	0.403226
31	0.403226
32	0.403226
33	1.0989
34	0.985222
34	0.396825
35	0.416667
35	1.14943
35	0.416667
36	1.20664
36	1.14943
36	1.00251
37	0.397022
37	1.00251
38	1.14943
38	0.91954
39	0.968523
39	1.06101
40	0.416233
40	0.444939
41	1.0989
41	1.00251
42	1.03896
42	0.952381
43	1.21212
43	1.25786
44	1.21212
44	0.987654
45	1.1611
45	1.03896
46	0.403226
46	1.03896
47	0.391007
48	0.403226
49	0.935673
50	0.416233
50	1.11888
51	0.390625
52	0.409626
53	0.391007
54	0.935673
55	0.431034
55	1.04302
55	0.409836
56	1.06101
56	0.784314
56	0.409836
57	0.811359
57	1.06101
58	0.403226
58	1.06101
59	0.403226
60	0.430108
61	0.416233
61	0.416233
62	0.416233
62	0.409626
63	1.1396
63	0.903955
64	1.07962
64	1.14943
65	1.00251
65	0.952381
65	266.667
66	0.403226
66	0.952381
66	266.667
67	0.416233
68	0.390625
69	1.06101
70	0.403226
71	0.91954
71	0.378788
72	0.431034
72	0.431034
73	0.430108
73	0.430108
74	0.877193
74	1.14943
75	0.874317
75	1.00629
76	0.403226
76	0.403226
77	0.403226
77	0.403226
78	1.19048
78	0.811359
79	0.403226
79	0.811359
80	1.02041
80	1.0989
81	2.46914
81	1.00251
82	0.892857
82	1.00251
83	1.0989
84	0.416233
84	1.0989
85	1.00883
85	1.03896
85	1.0989
86	1.1611
86	1.03896
87	0.969697
87	0.847458
87	200
88	0.409626
88	0.423057
89	1.1611
89	1.0989
89	0.423057
90	0.935673
90	1.0989
90	1.04302
91	0.952381
91	1.19048
92	0.40404
92	1.02171
92	0.410889
93	0.403226
93	0.423057
93	0.410889
94	1.0582
94	1.23077
95	0.437397
95	0.444939
96	0.391007
96	0.444939
97	1.1396
97	1.03896
98	1.0582
98	1.20664
99	0.416233
99	0.423057
100	0.390625
100	0.423057
101	1.0989
102	1.0582
102	1.1396
103	0.840336
103	1.1396
104	0.409836
104	0.403226
104	1.1396
105	0.409836
105	0.403226
106	0.416667
106	0.416667
107	0.403226
107	0.416667
108	0.416667
108	0.416667
109	0.403226
109	0.416667
110	1.1396
110	1.12994
111	0.390625
112	0.403226
112	0.423057
113	0.409836
113	0.416667
114	0.403226
114	0.416667
115	0.903955
115	1.11888
116	0.430108
116	1.11888
117	0.403226
118	0.451977
119	0.416667
120	0.430108
120	0.430108
121	0.431034
121	1.07962
121	0.431034
122	0.403226
122	1.07962
122	0.431034
123	0.936768
123	1.06101
124	0.430108
124	0.430108
125	0.903955
125	1.06101
126	1.1611
126	0.935673
127	0.390625
127	0.935673
128	0.416233
129	0.423729
130	1.06101
130	0.952381
131	0.403226
131	0.952381
132	0.416667
132	0.409836
133	2.48447
133	1.23457
133	0.409836
134	0.961538
134	2.36686
135	1.06101
135	1.1611
135	2.36686
136	0.968523
136	1.1611
136	0.91954
137	0.390625
137	2.1978
138	1.0989
138	2.1978
139	1.1396
140	0.390625
141	0.452745
141	0.416233
142	0.403226
142	0.416233
143	1.04302
143	0.811359
144	0.409836
144	0.431034
145	0.416233
145	0.431034
146	0.390625
146	0.423729
147	1.11888
147	1.00251
148	1.11888
148	1.00883
149	0.985222
149	1.03896
150	0.416233
150	1.03896
151	0.403226
151	0.409836
152	0.390625
152	0.409836
153	1.19048
153	0.825593
154	0.391007
154	0.825593
155	0.390625
156	0.403226
157	0.793651
158	0.423729
158	0.416667
159	0.390625
159	0.416667
160	0.423729
160	0.409836
161	1.03896
161	1.03896
162	0.847458
162	1.06101
163	0.416233
164	0.403226
165	1.21212
165	1.03896
166	0.403226
166	1.03896
167	0.410889
167	0.391007
168	1.23457
168	1.18343
169	0.403226
169	1.18343
170	0.416233
171	1.00251
172	1.00251
172	1.11888
173	0.423057
174	0.452745
174	0.403226
175	0.91954
175	0.952381
176	0.403226
176	0.409836
177	0.403226
177	0.409836
178	0.431034
178	0.409836
179	0.403226
179	0.409836
180	0.416667
181	0.437397
181	0.437397
182	0.409836
182	0.941176
182	0.941176
183	0.409836
183	0.431034
183	0.409836
184	0.840336
184	1.11888
184	0.409836
185	0.390625
186	0.416667
186	0.403226
187	0.416667
187	0.416667
188	0.390625
188	0.416667
189	0.811359
189	1.28205
190	0.935673
190	1.1396
191	0.384615
191	0.409836
192	0.391007
192	0.409836
193	0.390625
194	0.91954
195	1.06101
196	0.430108
196	0.423057
197	1.1396
197	1.23457
197	0.847458
198	0.409626
198	0.437397
198	0.847458
199	1.11888
199	1.07817
200	0.952381
200	0.862069
200	1.07817
201	1.03896
201	1.23457
202	0.390625
203	0.409626
203	0.437397
204	1.11888
204	0.437397
205	0.423057
205	0.423057
206	1.0989
206	0.423057
207	0.409836
207	0.423729
207	1.36752
208	0.403226
208	0.416667
208	2.7972
209	1.0989
209	0.987654
209	2.7972
210	0.409836
210	0.403226
211	0.430108
211	0.423057
212	0.969697
212	1.00251
213	0.840336
213	1.04302
214	0.444939
214	0.403226
215	1.07962
215	0.935673
216	0.390625
216	0.935673
217	0.952381
218	0.378788
219	0.431034
219	0.416667
220	0.431034
220	0.416667
220	2.89855
221	1.19048
221	1.06667
221	2.89855
222	0.952381
222	0.862069
223	1.11111
223	1.00251
224	0.390625
224	1.00251
225	0.91954
225	1.11888
226	1.25786
226	0.91954
227	0.423057
227	0.423057
228	0.40404
228	0.391007
229	1.14943
229	1.06101
230	1.11888
230	1.0989
231	0.430108
231	0.423057
232	0.840336
232	1.28205
233	0.492459
233	0.952381
233	0.952381
234	0.877193
234	1.1396
234	0.952381
235	0.378788
236	0.784314
237	0.403226
237	1.06101
238	1.06101
238	0.416667
238	1.06101
239	0.416667
239	0.403226
239	1.06101
240	1.0989
240	1.1611
241	0.416667
241	0.409836
242	0.390625
242	0.409836
243	1.16959
243	1.07962
244	1.66667
244	1.02041
245	0.444939
245	0.416233
246	0.969697
246	1.1396
247	0.416233
247	1.1396
248	0.403226
249	1.14943
250	0.403226
250	1.11888
251	0.444939
251	0.444939
252	0.430108
252	1.04302
252	0.444939
253	1.0582
