frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
1	1	0	0	0	1
2	1	5	2	3	0
3	1	5	1	4	0
4	1	3	1	2	0
5	1	6	1	5	0
6	1	5	1	4	0
7	1	5	2	3	0
8	1	11	1	10	0
9	1	9	2	7	0
10	1	6	0	6	1
11	1	7	0	7	1
12	1	5	0	5	1
13	1	3	0	3	1
14	1	6	0	6	1
15	1	8	0	8	1
16	1	12	2	10	0
17	1	14	2	12	0
18	1	8	2	6	0
19	1	6	1	5	0
20	1	7	0	7	1
21	1	8	4	4	0
22	1	5	2	3	0
23	1	5	2	3	0
24	1	5	2	3	0
25	1	5	0	5	1
26	1	8	0	8	1
27	1	8	0	8	1
28	1	9	2	7	0
29	1	7	2	5	0
30	1	4	1	3	0
31	1	10	3	7	0
32	1	12	3	9	0
33	1	8	2	6	0
34	1	9	2	7	0
35	1	9	1	8	0
36	1	9	1	8	0
37	1	6	3	3	0
38	1	7	1	6	0
39	1	7	2	5	0
40	1	7	2	5	0
41	1	13	2	11	0
42	1	16	2	14	0
43	1	15	2	13	0
44	1	9	0	9	1
45	1	4	1	3	0
46	1	4	3	1	0
47	1	7	1	6	0
48	1	9	2	7	0
49	1	8	1	7	0
50	1	5	1	4	0
51	1	4	1	3	0
52	1	5	0	5	1
53	1	6	1	5	0
54	1	5	0	5	1
55	1	4	0	4	1
56	1	8	2	6	0
57	1	9	1	8	0
58	1	7	1	6	0
59	1	8	0	8	1
60	1	8	3	5	0
61	1	7	4	3	0
62	1	9	1	8	0
63	1	9	0	9	1
64	1	7	2	5	0
65	1	7	1	6	0
66	1	6	2	4	0
67	1	5	0	5	1
68	1	5	0	5	1
69	1	7	0	7	1
70	1	12	2	10	0
71	1	13	0	13	1
72	1	7	0	7	1
73	1	7	1	6	0
74	1	7	1	6	0
75	1	5	2	3	0
76	1	5	1	4	0
77	1	4	0	4	1
78	1	3	2	1	0
79	1	7	2	5	0
80	1	6	0	6	1
81	1	4	1	3	0
82	1	7	1	6	0
83	1	7	0	7	1
84	1	5	2	3	0
85	1	8	2	6	0
86	1	6	2	4	0
87	1	7	2	5	0
88	1	11	3	8	0
89	1	7	2	5	0
90	1	3	0	3	1
91	1	3	1	2	0
92	1	6	1	5	0
93	1	7	2	5	0
94	1	7	2	5	0
95	1	7	1	6	0
96	1	9	2	7	0
97	1	11	4	7	0
